Date,Price,Sign,Difference
1999-01-05,0.620232,+,0.001726
1999-01-06,0.620501,+,0.000269
1999-01-07,0.618620,-,0.001881
1999-01-08,0.619655,+,0.001035
1999-01-11,0.620964,+,0.001308
1999-01-12,0.622200,+,0.001236
1999-01-13,0.627707,+,0.005507
1999-01-14,0.627589,-,0.000118
1999-01-15,0.625626,-,0.001963
1999-01-18,0.624844,-,0.000782
1999-01-19,0.624961,+,0.000117
1999-01-20,0.624064,-,0.000897
1999-01-21,0.623830,-,0.000234
1999-01-22,0.625665,+,0.001834
1999-01-25,0.626331,+,0.000666
1999-01-26,0.624142,-,0.002189
1999-01-27,0.621813,-,0.002329
1999-01-28,0.620001,-,0.001812
1999-01-29,0.620232,+,0.000231
1999-02-01,0.621543,+,0.001311
1999-02-02,0.624922,+,0.003379
1999-02-03,0.625978,+,0.001056
1999-02-04,0.624337,-,0.001641
1999-02-05,0.624532,+,0.000195
1999-02-08,0.624298,-,0.000234
1999-02-09,0.625039,+,0.000741
1999-02-10,0.626449,+,0.001410
1999-02-11,0.626331,-,0.000118
1999-02-12,0.625313,-,0.001018
1999-02-15,0.626959,+,0.001647
1999-02-16,0.625978,-,0.000981
1999-02-17,0.626056,+,0.000078
1999-02-18,0.625704,-,0.000353
1999-02-19,0.625704,-,0.000000
1999-02-22,0.625547,-,0.000157
1999-02-23,0.626802,+,0.001255
1999-02-24,0.627353,+,0.000551
1999-02-25,0.628733,+,0.001381
1999-02-26,0.629327,+,0.000594
1999-03-01,0.627746,-,0.001580
1999-03-02,0.628457,+,0.000710
1999-03-03,0.627904,-,0.000552
1999-03-04,0.629604,+,0.001700
1999-03-05,0.628457,-,0.001147
1999-03-08,0.627628,-,0.000828
1999-03-09,0.627707,+,0.000079
1999-03-10,0.624454,-,0.003253
1999-03-11,0.626096,+,0.001642
1999-03-12,0.625978,-,0.000118
1999-03-15,0.624610,-,0.001368
1999-03-16,0.625195,+,0.000586
1999-03-17,0.625508,+,0.000313
1999-03-18,0.625978,+,0.000470
1999-03-19,0.625547,-,0.000431
1999-03-22,0.626331,+,0.000784
1999-03-23,0.627156,+,0.000825
1999-03-24,0.628615,+,0.001459
1999-03-25,0.627195,-,0.001419
1999-03-26,0.626370,-,0.000825
1999-03-29,0.627235,+,0.000864
1999-03-30,0.626723,-,0.000511
1999-03-31,0.625743,-,0.000980
1999-04-01,0.626684,+,0.000941
1999-04-02,0.626056,-,0.000628
1999-04-05,0.626253,+,0.000196
1999-04-06,0.626959,+,0.000707
1999-04-07,0.626881,-,0.000079
1999-04-08,0.626645,-,0.000236
1999-04-09,0.626253,-,0.000392
1999-04-12,0.623830,-,0.002422
1999-04-13,0.623752,-,0.000078
1999-04-14,0.622975,-,0.000777
1999-04-15,0.623636,+,0.000660
1999-04-16,0.623947,+,0.000311
1999-04-19,0.624415,+,0.000468
1999-04-20,0.623441,-,0.000973
1999-04-21,0.625000,+,0.001559
1999-04-22,0.624610,-,0.000390
1999-04-23,0.624103,-,0.000507
1999-04-26,0.623947,-,0.000156
1999-04-27,0.623169,-,0.000778
1999-04-28,0.621581,-,0.001588
1999-04-29,0.622200,+,0.000619
1999-04-30,0.620617,-,0.001583
1999-05-03,0.620694,+,0.000077
1999-05-04,0.621195,+,0.000501
1999-05-05,0.623403,+,0.002207
1999-05-06,0.621891,-,0.001512
1999-05-07,0.621968,+,0.000077
1999-05-10,0.622084,+,0.000116
1999-05-11,0.621813,-,0.000271
1999-05-12,0.622975,+,0.001162
1999-05-13,0.624493,+,0.001517
1999-05-14,0.624220,-,0.000273
1999-05-17,0.624103,-,0.000117
1999-05-18,0.624103,-,0.000000
1999-05-19,0.624337,+,0.000234
1999-05-20,0.624220,-,0.000117
1999-05-21,0.623675,-,0.000545
1999-05-24,0.624103,+,0.000428
1999-05-25,0.626409,+,0.002307
1999-05-26,0.626999,+,0.000589
1999-05-27,0.627392,+,0.000393
1999-05-28,0.627313,-,0.000079
1999-05-31,0.627235,-,0.000079
1999-06-01,0.627825,+,0.000591
1999-06-02,0.628457,+,0.000631
1999-06-03,0.627825,-,0.000631
1999-06-04,0.629842,+,0.002017
1999-06-07,0.630597,+,0.000755
1999-06-08,0.628575,-,0.002022
1999-06-09,0.628378,-,0.000197
1999-06-10,0.627077,-,0.001300
1999-06-11,0.626174,-,0.000903
1999-06-14,0.626881,+,0.000707
1999-06-15,0.627313,+,0.000433
1999-06-16,0.627195,-,0.000118
1999-06-17,0.625939,-,0.001256
1999-06-18,0.626213,+,0.000274
1999-06-21,0.626292,+,0.000078
1999-06-22,0.626881,+,0.000589
1999-06-23,0.626174,-,0.000707
1999-06-24,0.625900,-,0.000274
1999-06-25,0.625195,-,0.000704
1999-06-28,0.625195,-,0.000000
1999-06-29,0.624532,-,0.000664
1999-06-30,0.623675,-,0.000857
1999-07-01,0.623325,-,0.000350
1999-07-02,0.622665,-,0.000660
1999-07-05,0.622859,+,0.000194
1999-07-06,0.623441,+,0.000582
