Date,Price,Difference
1999-01-05,0.441729,0.001910
1999-01-06,0.439067,-0.002662
1999-01-07,0.436653,-0.002414
1999-01-08,0.439584,0.002930
1999-01-11,0.437407,-0.002177
1999-01-12,0.439647,0.002240
1999-01-13,0.444668,0.005021
1999-01-14,0.443203,-0.001464
1999-01-15,0.440378,-0.002825
1999-01-18,0.438203,-0.002175
1999-01-19,0.437473,-0.000730
1999-01-20,0.437718,0.000246
1999-01-21,0.438116,0.000398
1999-01-22,0.438278,0.000162
1999-01-25,0.437743,-0.000535
1999-01-26,0.435401,-0.002341
1999-01-27,0.433279,-0.002122
1999-01-28,0.429537,-0.003743
1999-01-29,0.428580,-0.000957
1999-02-01,0.429113,0.000533
1999-02-02,0.430446,0.001333
1999-02-03,0.433490,0.003044
1999-02-04,0.430418,-0.003072
1999-02-05,0.429990,-0.000428
1999-02-08,0.430016,0.000026
1999-02-09,0.431964,0.001948
1999-02-10,0.435632,0.003668
1999-02-11,0.436866,0.001233
1999-02-12,0.432529,-0.004337
1999-02-15,0.432288,-0.000240
1999-02-16,0.429045,-0.003243
1999-02-17,0.430289,0.001243
1999-02-18,0.429921,-0.000367
1999-02-19,0.427856,-0.002065
1999-02-22,0.424684,-0.003172
1999-02-23,0.425975,0.001291
1999-02-24,0.431807,0.005832
1999-02-25,0.433071,0.001265
1999-02-26,0.432536,-0.000535
1999-03-01,0.428688,-0.003848
1999-03-02,0.425088,-0.003600
1999-03-03,0.422140,-0.002948
1999-03-04,0.425549,0.003409
1999-03-05,0.423391,-0.002158
1999-03-08,0.425281,0.001890
1999-03-09,0.423953,-0.001328
1999-03-10,0.421256,-0.002697
1999-03-11,0.419108,-0.002148
1999-03-12,0.418529,-0.000579
1999-03-15,0.420924,0.002395
1999-03-16,0.419068,-0.001856
1999-03-17,0.421843,0.002774
1999-03-18,0.423161,0.001318
1999-03-19,0.419617,-0.003544
1999-03-22,0.418201,-0.001416
1999-03-23,0.420571,0.002370
1999-03-24,0.418217,-0.002353
1999-03-25,0.418214,-0.000004
1999-03-26,0.416536,-0.001678
1999-03-29,0.414916,-0.001621
1999-03-30,0.416019,0.001103
1999-03-31,0.416933,0.000914
1999-04-01,0.419252,0.002319
1999-04-02,0.420710,0.001458
1999-04-05,0.419714,-0.000996
1999-04-06,0.423762,0.004047
1999-04-07,0.424524,0.000762
1999-04-08,0.421795,-0.002729
1999-04-09,0.421092,-0.000703
1999-04-12,0.419401,-0.001691
1999-04-13,0.416105,-0.003296
1999-04-14,0.415338,-0.000768
1999-04-15,0.416713,0.001376
1999-04-16,0.413864,-0.002849
1999-04-19,0.411239,-0.002625
1999-04-20,0.410786,-0.000454
1999-04-21,0.412062,0.001277
1999-04-22,0.411305,-0.000757
1999-04-23,0.410847,-0.000459
1999-04-26,0.409871,-0.000976
1999-04-27,0.410482,0.000611
1999-04-28,0.409187,-0.001295
1999-04-29,0.409657,0.000470
1999-04-30,0.407807,-0.001849
1999-05-03,0.407858,0.000051
1999-05-04,0.407069,-0.000789
1999-05-05,0.408453,0.001384
1999-05-06,0.410510,0.002057
1999-05-07,0.411121,0.000611
1999-05-10,0.410824,-0.000297
1999-05-11,0.411578,0.000754
1999-05-12,0.409731,-0.001847
1999-05-13,0.409667,-0.000064
1999-05-14,0.412047,0.002380
1999-05-17,0.411783,-0.000264
1999-05-18,0.411409,-0.000374
1999-05-19,0.410127,-0.001282
1999-05-20,0.411423,0.001296
1999-05-21,0.410565,-0.000858
1999-05-24,0.412969,0.002404
1999-05-25,0.415560,0.002591
1999-05-26,0.412565,-0.002995
1999-05-27,0.411004,-0.001561
1999-05-28,0.410639,-0.000365
1999-05-31,0.409208,-0.001431
1999-06-01,0.408400,-0.000808
1999-06-02,0.404915,-0.003486
1999-06-03,0.405450,0.000535
1999-06-04,0.403855,-0.001595
1999-06-07,0.404465,0.000610
1999-06-08,0.407882,0.003418
1999-06-09,0.409891,0.002008
1999-06-10,0.409983,0.000092
1999-06-11,0.407389,-0.002594
1999-06-14,0.405780,-0.001609
1999-06-15,0.407816,0.002036
1999-06-16,0.408304,0.000488
1999-06-17,0.405671,-0.002633
1999-06-18,0.407414,0.001743
1999-06-21,0.407465,0.000051
1999-06-22,0.407347,-0.000118
1999-06-23,0.407702,0.000355
1999-06-24,0.408900,0.001198
1999-06-25,0.411254,0.002353
1999-06-28,0.410378,-0.000875
1999-06-29,0.408693,-0.001685
1999-06-30,0.409318,0.000624
1999-07-01,0.405286,-0.004032
1999-07-02,0.404608,-0.000678
1999-07-05,0.404298,-0.000310
1999-07-06,0.406110,0.001812
1999-07-07,0.409318,0.003208
1999-07-08,0.408260,-0.001058
1999-07-09,0.409399,0.001139
1999-07-12,0.406110,-0.003289
1999-07-13,0.407835,0.001725
1999-07-14,0.406595,-0.001240
1999-07-15,0.405668,-0.000927
1999-07-16,0.405318,-0.000350
1999-07-19,0.405241,-0.000077
1999-07-20,0.412645,0.007404
1999-07-21,0.414285,0.001640
1999-07-22,0.413368,-0.000917
1999-07-23,0.413256,-0.000112
1999-07-26,0.418959,0.005703
1999-07-27,0.417500,-0.001459
1999-07-28,0.418053,0.000553
1999-07-29,0.417110,-0.000943
1999-07-30,0.412994,-0.004115
1999-08-02,0.412892,-0.000102
1999-08-03,0.411904,-0.000988
1999-08-04,0.414136,0.002231
1999-08-05,0.417240,0.003104
1999-08-06,0.415132,-0.002108
1999-08-09,0.416745,0.001613
1999-08-10,0.415860,-0.000885
1999-08-11,0.413343,-0.002516
1999-08-12,0.412782,-0.000562
1999-08-13,0.413300,0.000518
1999-08-16,0.411049,-0.002251
1999-08-17,0.411192,0.000143
1999-08-18,0.409341,-0.001851
1999-08-19,0.409827,0.000486
1999-08-20,0.412520,0.002693
1999-08-23,0.411945,-0.000574
1999-08-24,0.410769,-0.001176
1999-08-25,0.410493,-0.000276
1999-08-26,0.410362,-0.000131
1999-08-27,0.411390,0.001028
1999-08-30,0.410887,-0.000503
1999-08-31,0.411640,0.000753
1999-09-01,0.411960,0.000320
1999-09-02,0.414671,0.002711
1999-09-03,0.415430,0.000759
1999-09-06,0.413506,-0.001924
1999-09-07,0.411283,-0.002223
1999-09-08,0.408679,-0.002604
1999-09-09,0.407012,-0.001667
1999-09-10,0.403307,-0.003704
1999-09-13,0.399041,-0.004266
1999-09-14,0.403091,0.004050
1999-09-15,0.403069,-0.000022
1999-09-16,0.400200,-0.002869
1999-09-17,0.400262,0.000062
1999-09-20,0.399402,-0.000860
1999-09-21,0.397744,-0.001658
1999-09-22,0.400836,0.003092
1999-09-23,0.398404,-0.002432
1999-09-24,0.398325,-0.000079
1999-09-27,0.394968,-0.003357
1999-09-28,0.397054,0.002086
1999-09-29,0.401800,0.004745
1999-09-30,0.405524,0.003724
1999-10-01,0.406569,0.001045
