Date,Price,Sign,Difference
1999-01-05,81.225578,-,1.487188
1999-01-06,81.546289,+,0.320711
1999-01-07,80.068048,-,1.478241
1999-01-08,80.610980,+,0.542932
1999-01-11,78.446349,-,2.164632
1999-01-12,80.655799,+,2.209450
1999-01-13,82.788274,+,2.132476
1999-01-14,83.306138,+,0.517863
1999-01-15,82.419920,-,0.886218
1999-01-18,83.041740,+,0.621820
1999-01-19,82.582339,-,0.459401
1999-01-20,82.120569,-,0.461769
1999-01-21,81.310044,-,0.810525
1999-01-22,82.512670,+,1.202626
1999-01-25,82.732056,+,0.219386
1999-01-26,82.268131,-,0.463924
1999-01-27,82.023380,-,0.244751
1999-01-28,81.995164,-,0.028216
1999-01-29,81.932643,-,0.062521
1999-02-01,81.347505,-,0.585138
1999-02-02,79.802525,-,1.544980
1999-02-03,79.411581,-,0.390944
1999-02-04,79.696572,+,0.284992
1999-02-05,79.908818,+,0.212246
1999-02-08,79.797728,-,0.111091
1999-02-09,81.198825,+,1.401097
1999-02-10,81.895634,+,0.696809
1999-02-11,81.015909,-,0.879725
1999-02-12,80.615308,-,0.400601
1999-02-15,81.072100,+,0.456793
1999-02-16,82.516432,+,1.444332
1999-02-17,83.566018,+,1.049586
1999-02-18,84.094606,+,0.528589
1999-02-19,83.825554,-,0.269053
1999-02-22,83.579382,-,0.246172
1999-02-23,83.452426,-,0.126956
1999-02-24,83.977415,+,0.524990
1999-02-25,83.539767,-,0.437648
1999-02-26,82.649465,-,0.890302
1999-03-01,82.316384,-,0.333081
1999-03-02,82.560332,+,0.243948
1999-03-03,82.996358,+,0.436026
1999-03-04,84.316565,+,1.320207
1999-03-05,83.704123,-,0.612442
1999-03-08,83.330195,-,0.373927
1999-03-09,83.139790,-,0.190405
1999-03-10,82.265518,-,0.874273
1999-03-11,82.018532,-,0.246985
1999-03-12,81.877934,-,0.140598
1999-03-15,80.480949,-,1.396985
1999-03-16,80.431385,-,0.049565
1999-03-17,81.428661,+,0.997276
1999-03-18,81.239437,-,0.189224
1999-03-19,80.063806,-,1.175631
1999-03-22,80.170362,+,0.106556
1999-03-23,80.865475,+,0.695113
1999-03-24,80.839829,-,0.025646
1999-03-25,80.688660,-,0.151169
1999-03-26,80.757908,+,0.069248
1999-03-29,80.775262,+,0.017354
1999-03-30,80.759589,-,0.015673
1999-03-31,79.976222,-,0.783367
1999-04-01,80.666792,+,0.690570
1999-04-02,81.293433,+,0.626641
1999-04-05,81.757265,+,0.463832
1999-04-06,81.498433,-,0.258832
1999-04-07,82.290622,+,0.792189
1999-04-08,81.745833,-,0.544789
1999-04-09,81.882515,+,0.136682
1999-04-12,81.266376,-,0.616139
1999-04-13,80.875749,-,0.390627
1999-04-14,80.083479,-,0.792270
1999-04-15,79.831618,-,0.251860
1999-04-16,78.717165,-,1.114454
1999-04-19,78.470184,-,0.246981
1999-04-20,78.229426,-,0.240758
1999-04-21,78.912500,+,0.683074
1999-04-22,79.294191,+,0.381691
1999-04-23,79.417088,+,0.122897
1999-04-26,78.754602,-,0.662486
1999-04-27,79.354396,+,0.599795
1999-04-28,78.971905,-,0.382492
1999-04-29,78.496765,-,0.475140
1999-04-30,78.756284,+,0.259519
1999-05-03,78.784681,+,0.028398
1999-05-04,79.537831,+,0.753150
1999-05-05,80.281778,+,0.743947
1999-05-06,81.218905,+,0.937128
1999-05-07,80.936684,-,0.282222
1999-05-10,80.758942,-,0.177741
1999-05-11,80.817063,+,0.058120
1999-05-12,80.289061,-,0.528002
1999-05-13,80.684444,+,0.395383
1999-05-14,81.635456,+,0.951012
1999-05-17,82.050802,+,0.415346
1999-05-18,82.144417,+,0.093615
1999-05-19,82.662171,+,0.517754
1999-05-20,82.496879,-,0.165293
1999-05-21,81.857303,-,0.639576
1999-05-24,81.670099,-,0.187204
1999-05-25,81.690053,+,0.019953
1999-05-26,80.738604,-,0.951448
1999-05-27,80.337537,-,0.401067
1999-05-28,79.480585,-,0.856952
1999-05-31,79.771687,+,0.291102
1999-06-01,79.325716,-,0.445971
1999-06-02,79.003268,-,0.322448
1999-06-03,78.980412,-,0.022856
1999-06-04,79.013668,+,0.033256
1999-06-07,78.635389,-,0.378278
1999-06-08,79.194167,+,0.558778
1999-06-09,78.220435,-,0.973732
1999-06-10,78.071111,-,0.149324
1999-06-11,77.701941,-,0.369169
1999-06-14,78.623370,+,0.921429
1999-06-15,78.583527,-,0.039843
1999-06-16,78.023081,-,0.560446
1999-06-17,77.597646,-,0.425434
1999-06-18,77.976079,+,0.378432
1999-06-21,79.100645,+,1.124566
1999-06-22,78.736209,-,0.364436
1999-06-23,78.616155,-,0.120053
1999-06-24,78.894661,+,0.278506
1999-06-25,79.274773,+,0.380112
1999-06-28,78.749609,-,0.525164
1999-06-29,78.253810,-,0.495800
1999-06-30,77.847075,-,0.406735
1999-07-01,77.367076,-,0.479999
1999-07-02,77.166874,-,0.200202
1999-07-05,77.969480,+,0.802606
1999-07-06,77.849127,-,0.120353
1999-07-07,77.815891,-,0.033236
1999-07-08,77.808971,-,0.006920
1999-07-09,77.597261,-,0.211710
1999-07-12,77.040816,-,0.556445
1999-07-13,77.244090,+,0.203273
1999-07-14,76.650252,-,0.593837
1999-07-15,76.636562,-,0.013691
1999-07-16,76.685970,+,0.049409
1999-07-19,75.683077,-,1.002893
1999-07-20,76.748971,+,1.065894
1999-07-21,77.339809,+,0.590838
1999-07-22,77.209360,-,0.130449
1999-07-23,75.973338,-,1.236022
1999-07-26,77.057139,+,1.083801
1999-07-27,77.668750,+,0.611611
1999-07-28,77.036157,-,0.632593
1999-07-29,77.088679,+,0.052522
1999-07-30,77.109414,+,0.020735
1999-08-02,76.351563,-,0.757851
1999-08-03,76.710016,+,0.358453
1999-08-04,77.109111,+,0.399095
1999-08-05,77.173777,+,0.064666
1999-08-06,76.864973,-,0.308804
1999-08-09,77.139999,+,0.275026
1999-08-10,77.016809,-,0.123189
1999-08-11,76.714723,-,0.302087
1999-08-12,76.920677,+,0.205954
1999-08-13,76.434593,-,0.486084
1999-08-16,75.705368,-,0.729224
1999-08-17,75.156133,-,0.549235
1999-08-18,74.238262,-,0.917871
1999-08-19,73.151216,-,1.087046
1999-08-20,74.591549,+,1.440333
1999-08-23,73.893445,-,0.698104
1999-08-24,73.346243,-,0.547202
1999-08-25,72.267333,-,1.078910
1999-08-26,72.646692,+,0.379359
1999-08-27,72.861246,+,0.214555
1999-08-30,72.476434,-,0.384812
1999-08-31,72.219791,-,0.256643
1999-09-01,72.481880,+,0.262088
1999-09-02,72.640860,+,0.158981
1999-09-03,73.467343,+,0.826482
1999-09-06,72.787583,-,0.679760
1999-09-07,73.450497,+,0.662914
1999-09-08,73.463390,+,0.012893
1999-09-09,72.090989,-,1.372402
1999-09-10,71.762871,-,0.328118
1999-09-13,68.416791,-,3.346079
1999-09-14,68.708712,+,0.291921
1999-09-15,67.327844,-,1.380868
1999-09-16,67.415170,+,0.087325
1999-09-17,68.959930,+,1.544761
1999-09-20,69.836127,+,0.876197
1999-09-21,67.746760,-,2.089367
1999-09-22,68.322516,+,0.575757
1999-09-23,67.616435,-,0.706081
1999-09-24,68.366454,+,0.750019
1999-09-27,68.462451,+,0.095997
1999-09-28,69.468888,+,1.006438
1999-09-29,70.518028,+,1.049139
1999-09-30,70.564289,+,0.046261
1999-10-01,70.847670,+,0.283381
1999-10-04,71.379202,+,0.531532
1999-10-05,71.541552,+,0.162350
1999-10-06,72.659835,+,1.118284
1999-10-07,72.519467,-,0.140368
1999-10-08,71.791176,-,0.728292
1999-10-11,71.114176,-,0.676999
1999-10-12,71.150831,+,0.036655
1999-10-13,73.074747,+,1.923916
1999-10-14,72.259241,-,0.815506
1999-10-15,72.549143,+,0.289903
1999-10-18,71.924191,-,0.624952
1999-10-19,71.927506,+,0.003315
1999-10-20,71.920563,-,0.006943
1999-10-21,71.925637,+,0.005074
1999-10-22,71.155773,-,0.769865
1999-10-25,70.500626,-,0.655147
1999-10-26,69.629120,-,0.871506
1999-10-27,68.615192,-,1.013928
1999-10-28,68.520252,-,0.094940
1999-10-29,68.365565,-,0.154688
1999-11-01,68.713377,+,0.347813
1999-11-02,68.606317,-,0.107060
1999-11-03,67.904460,-,0.701858
1999-11-04,68.259386,+,0.354926
1999-11-05,68.036190,-,0.223196
1999-11-08,68.546584,+,0.510394
1999-11-09,67.986573,-,0.560011
1999-11-10,67.995522,+,0.008949
1999-11-11,67.951508,-,0.044014
1999-11-12,67.309367,-,0.642141
1999-11-15,67.254157,-,0.055210
1999-11-16,68.187200,+,0.933043
1999-11-17,68.423353,+,0.236153
1999-11-18,68.433208,+,0.009855
1999-11-19,68.051397,-,0.381811
1999-11-22,67.596232,-,0.455165
1999-11-23,67.449560,-,0.146672
1999-11-24,66.649997,-,0.799563
1999-11-25,66.410401,-,0.239596
1999-11-26,65.488384,-,0.922017
1999-11-29,64.146235,-,1.342149
1999-11-30,64.290619,+,0.144384
1999-12-01,64.565503,+,0.274884
1999-12-02,64.397775,-,0.167728
1999-12-03,64.238742,-,0.159032
1999-12-06,65.514434,+,1.275692
1999-12-07,65.660354,+,0.145920
1999-12-08,65.767453,+,0.107100
1999-12-09,65.286724,-,0.480730
1999-12-10,64.946196,-,0.340528
1999-12-13,64.887640,-,0.058556
1999-12-14,64.968471,+,0.080831
1999-12-15,64.808449,-,0.160022
1999-12-16,65.228521,+,0.420072
1999-12-17,65.310706,+,0.082185
1999-12-20,64.883779,-,0.426927
1999-12-21,64.442916,-,0.440863
1999-12-22,64.090056,-,0.352860
1999-12-23,64.030979,-,0.059078
1999-12-24,65.006545,+,0.975566
1999-12-27,64.657859,-,0.348686
1999-12-28,64.227440,-,0.430419
1999-12-29,64.150943,-,0.076496
1999-12-30,64.002243,-,0.148701
2000-01-03,64.046625,+,0.044382
2000-01-04,65.956519,+,1.909894
2000-01-05,66.836862,+,0.880343
2000-01-06,67.662435,+,0.825573
2000-01-07,67.224330,-,0.438105
2000-01-10,66.666667,-,0.557663
2000-01-11,67.638104,+,0.971437
2000-01-12,67.772394,+,0.134291
2000-01-13,67.587363,-,0.185031
2000-01-14,66.986981,-,0.600382
2000-01-17,65.573872,-,1.413109
2000-01-18,65.972351,+,0.398479
2000-01-19,66.370968,+,0.398616
2000-01-20,65.919366,-,0.451602
2000-01-21,65.538442,-,0.380923
2000-01-24,65.406544,-,0.131898
2000-01-25,65.560449,+,0.153905
2000-01-26,65.797965,+,0.237516
2000-01-27,65.431639,-,0.366326
2000-01-28,64.350847,-,1.080792
2000-01-31,65.017712,+,0.666865
2000-02-01,65.070282,+,0.052571
2000-02-02,65.530091,+,0.459809
2000-02-03,65.771311,+,0.241220
2000-02-04,65.926479,+,0.155167
2000-02-07,65.994398,+,0.067919
2000-02-08,67.133259,+,1.138861
2000-02-09,67.213522,+,0.080264
2000-02-10,66.693649,-,0.519873
2000-02-11,66.903338,+,0.209689
2000-02-14,66.506909,-,0.396429
2000-02-15,66.284789,-,0.222120
2000-02-16,66.706161,+,0.421372
2000-02-17,68.133649,+,1.427488
2000-02-18,68.157435,+,0.023786
2000-02-21,68.448631,+,0.291196
2000-02-22,69.132653,+,0.684022
2000-02-23,69.469109,+,0.336456
2000-02-24,68.039252,-,1.429857
2000-02-25,67.642853,-,0.396400
2000-02-28,65.500498,-,2.142355
2000-02-29,66.477874,+,0.977376
2000-03-01,65.137558,-,1.340316
2000-03-02,64.933126,-,0.204432
2000-03-03,64.850900,-,0.082226
2000-03-06,64.379044,-,0.471855
2000-03-07,64.042778,-,0.336266
2000-03-08,63.657307,-,0.385472
2000-03-09,63.781832,+,0.124525
2000-03-10,63.608658,-,0.173174
2000-03-13,63.465359,-,0.143299
2000-03-14,62.634976,-,0.830383
2000-03-15,63.133726,+,0.498751
2000-03-16,63.139275,+,0.005549
2000-03-17,63.444127,+,0.304852
2000-03-20,64.312291,+,0.868163
2000-03-21,64.197071,-,0.115219
2000-03-22,63.920472,-,0.276599
2000-03-23,64.742911,+,0.822438
2000-03-24,65.317520,+,0.574610
2000-03-27,65.231330,-,0.086190
2000-03-28,64.505785,-,0.725545
2000-03-29,63.393306,-,1.112478
2000-03-30,63.077503,-,0.315803
2000-03-31,61.941284,-,1.136220
2000-04-03,63.118469,+,1.177185
2000-04-04,63.690965,+,0.572496
2000-04-05,64.651665,+,0.960700
2000-04-06,64.254372,-,0.397293
2000-04-07,64.036371,-,0.218001
2000-04-10,64.789270,+,0.752899
2000-04-11,65.281842,+,0.492573
2000-04-12,64.217212,-,1.064631
2000-04-13,64.233066,+,0.015855
2000-04-14,64.090996,-,0.142071
2000-04-17,63.368609,-,0.722387
2000-04-18,62.998090,-,0.370519
2000-04-19,62.731775,-,0.266315
2000-04-20,62.548483,-,0.183292
2000-04-25,62.468177,-,0.080306
2000-04-26,62.241588,-,0.226590
2000-04-27,61.980689,-,0.260899
2000-04-28,62.049650,+,0.068961
2000-05-02,63.561767,+,1.512117
2000-05-03,63.240542,-,0.321224
2000-05-04,62.920114,-,0.320429
2000-05-05,62.849939,-,0.070175
2000-05-08,62.714599,-,0.135339
2000-05-09,63.464892,+,0.750293
2000-05-10,63.528582,+,0.063690
2000-05-11,63.326692,-,0.201890
2000-05-12,63.118238,-,0.208454
2000-05-15,64.337148,+,1.218910
2000-05-16,63.697262,-,0.639886
2000-05-17,63.261880,-,0.435382
2000-05-18,62.829921,-,0.431959
2000-05-19,61.687726,-,1.142196
2000-05-22,62.194886,+,0.507161
2000-05-23,62.244115,+,0.049228
2000-05-24,62.387315,+,0.143201
2000-05-25,62.157303,-,0.230012
2000-05-26,62.792482,+,0.635178
2000-05-29,63.353958,+,0.561476
2000-05-30,63.494083,+,0.140125
2000-05-31,63.565793,+,0.071710
2000-06-01,64.428208,+,0.862416
2000-06-02,64.606777,+,0.178569
2000-06-05,64.516334,-,0.090443
2000-06-06,64.320203,-,0.196131
2000-06-07,64.429701,+,0.109498
2000-06-08,65.194076,+,0.764374
2000-06-09,64.759594,-,0.434482
2000-06-12,64.996160,+,0.236566
2000-06-13,65.299463,+,0.303303
2000-06-14,65.503802,+,0.204339
2000-06-15,64.493865,-,1.009937
2000-06-16,65.114342,+,0.620477
2000-06-19,65.219618,+,0.105276
2000-06-20,64.595237,-,0.624382
2000-06-21,64.270068,-,0.325168
2000-06-22,64.138243,-,0.131825
2000-06-23,63.217576,-,0.920667
2000-06-26,63.561184,+,0.343607
2000-06-27,64.032029,+,0.470845
2000-06-28,64.319400,+,0.287372
2000-06-29,63.992801,-,0.326599
2000-06-30,64.567283,+,0.574482
2000-07-03,64.677513,+,0.110230
2000-07-04,64.902112,+,0.224600
2000-07-05,65.497038,+,0.594926
2000-07-06,66.158615,+,0.661577
2000-07-07,65.894682,-,0.263933
2000-07-10,65.856025,-,0.038658
2000-07-11,65.590358,-,0.265666
2000-07-12,65.895768,+,0.305409
2000-07-13,64.460469,-,1.435299
2000-07-14,65.146033,+,0.685564
2000-07-17,65.729066,+,0.583033
2000-07-18,65.107728,-,0.621338
2000-07-19,64.370193,-,0.737535
2000-07-20,64.398244,+,0.028051
2000-07-21,65.456773,+,1.058529
2000-07-24,65.342334,-,0.114439
2000-07-25,66.147509,+,0.805176
2000-07-26,66.002964,-,0.144545
2000-07-27,65.842509,-,0.160456
2000-07-28,65.407465,-,0.435044
2000-07-31,65.283970,-,0.123495
2000-08-01,65.692109,+,0.408139
2000-08-02,64.599650,-,1.092458
2000-08-03,63.435981,-,1.163670
2000-08-04,63.385929,-,0.050052
2000-08-07,63.881349,+,0.495421
2000-08-08,63.601036,-,0.280313
2000-08-09,62.688597,-,0.912439
2000-08-10,63.389216,+,0.700619
2000-08-11,63.943082,+,0.553865
2000-08-14,63.432212,-,0.510870
2000-08-15,63.998461,+,0.566249
2000-08-16,63.149455,-,0.849006
2000-08-17,63.420564,+,0.271110
2000-08-18,63.641019,+,0.220455
2000-08-21,62.591358,-,1.049661
2000-08-22,62.320605,-,0.270753
2000-08-23,61.642512,-,0.678093
2000-08-24,62.392666,+,0.750154
2000-08-25,62.518605,+,0.125939
2000-08-28,62.110514,-,0.408091
