Date,Price,Difference
1999-01-05,0.731253,0.002097
1999-01-06,0.728655,-0.002599
1999-01-07,0.719579,-0.009075
1999-01-08,0.722456,0.002877
1999-01-11,0.718393,-0.004063
1999-01-12,0.716775,-0.001618
1999-01-13,0.737179,0.020405
1999-01-14,0.731329,-0.005850
1999-01-15,0.727352,-0.003977
1999-01-18,0.725569,-0.001784
1999-01-19,0.725955,0.000386
1999-01-20,0.722354,-0.003601
1999-01-21,0.721896,-0.000458
1999-01-22,0.723706,0.001810
1999-01-25,0.725542,0.001835
1999-01-26,0.722881,-0.002661
1999-01-27,0.716888,-0.005993
1999-01-28,0.707421,-0.009467
1999-01-29,0.706072,-0.001349
1999-02-01,0.704705,-0.001367
1999-02-02,0.708474,0.003769
1999-02-03,0.709671,0.001197
1999-02-04,0.703190,-0.006481
1999-02-05,0.705221,0.002031
1999-02-08,0.702085,-0.003136
1999-02-09,0.708357,0.006272
1999-02-10,0.710518,0.002161
1999-02-11,0.708506,-0.002012
1999-02-12,0.703102,-0.005404
1999-02-15,0.704577,0.001475
1999-02-16,0.699593,-0.004984
1999-02-17,0.704501,0.004908
1999-02-18,0.702791,-0.001711
1999-02-19,0.698473,-0.004317
1999-02-22,0.687602,-0.010872
1999-02-23,0.687539,-0.000062
1999-02-24,0.692409,0.004870
1999-02-25,0.693555,0.001146
1999-02-26,0.693392,-0.000163
1999-03-01,0.689642,-0.003750
1999-03-02,0.684201,-0.005442
1999-03-03,0.684353,0.000152
1999-03-04,0.684128,-0.000225
1999-03-05,0.680870,-0.003258
1999-03-08,0.684617,0.003747
1999-03-09,0.681878,-0.002739
1999-03-10,0.683964,0.002086
1999-03-11,0.681881,-0.002083
1999-03-12,0.684319,0.002438
1999-03-15,0.683885,-0.000434
1999-03-16,0.681525,-0.002360
1999-03-17,0.685932,0.004407
1999-03-18,0.689327,0.003395
1999-03-19,0.682785,-0.006542
1999-03-22,0.680446,-0.002339
1999-03-23,0.683349,0.002903
1999-03-24,0.686950,0.003601
1999-03-25,0.683517,-0.003433
1999-03-26,0.677419,-0.006098
1999-03-29,0.670639,-0.006780
1999-03-30,0.671284,0.000644
1999-03-31,0.672173,0.000890
1999-04-01,0.675064,0.002891
1999-04-02,0.674388,-0.000676
1999-04-05,0.673347,-0.001041
1999-04-06,0.672476,-0.000870
1999-04-07,0.677783,0.005307
1999-04-08,0.677904,0.000121
1999-04-09,0.674975,-0.002930
1999-04-12,0.677916,0.002941
1999-04-13,0.671470,-0.006447
1999-04-14,0.672003,0.000534
1999-04-15,0.672654,0.000650
1999-04-16,0.665627,-0.007027
1999-04-19,0.664127,-0.001499
1999-04-20,0.663716,-0.000412
1999-04-21,0.661625,-0.002091
1999-04-22,0.660899,-0.000726
1999-04-23,0.663671,0.002772
1999-04-26,0.662257,-0.001414
1999-04-27,0.662429,0.000172
1999-04-28,0.662979,0.000550
1999-04-29,0.659781,-0.003198
1999-04-30,0.657668,-0.002113
1999-05-03,0.657253,-0.000415
1999-05-04,0.656231,-0.001022
1999-05-05,0.664983,0.008753
1999-05-06,0.671580,0.006596
1999-05-07,0.670855,-0.000725
1999-05-10,0.667807,-0.003047
1999-05-11,0.667330,-0.000477
1999-05-12,0.663157,-0.004173
1999-05-13,0.663336,0.000179
1999-05-14,0.666417,0.003081
1999-05-17,0.666854,0.000437
1999-05-18,0.667166,0.000312
1999-05-19,0.663920,-0.003246
1999-05-20,0.664107,0.000188
1999-05-21,0.659349,-0.004758
1999-05-24,0.660613,0.001264
1999-05-25,0.665685,0.005072
1999-05-26,0.660543,-0.005142
1999-05-27,0.657068,-0.003475
1999-05-28,0.657362,0.000294
1999-05-31,0.655836,-0.001525
1999-06-01,0.655073,-0.000764
1999-06-02,0.652464,-0.002609
1999-06-03,0.651808,-0.000655
1999-06-04,0.649682,-0.002126
1999-06-07,0.650523,0.000841
1999-06-08,0.652775,0.002252
1999-06-09,0.657660,0.004885
1999-06-10,0.656801,-0.000859
