Date,Price,Difference
1999-01-05,1.612300,-0.004500
1999-01-06,1.611600,-0.000700
1999-01-07,1.616500,0.004900
1999-01-08,1.613800,-0.002700
1999-01-11,1.610400,-0.003400
1999-01-12,1.607200,-0.003200
1999-01-13,1.593100,-0.014100
1999-01-14,1.593400,0.000300
1999-01-15,1.598400,0.005000
1999-01-18,1.600400,0.002000
1999-01-19,1.600100,-0.000300
1999-01-20,1.602400,0.002300
1999-01-21,1.603000,0.000600
1999-01-22,1.598300,-0.004700
1999-01-25,1.596600,-0.001700
1999-01-26,1.602200,0.005600
1999-01-27,1.608200,0.006000
1999-01-28,1.612900,0.004700
1999-01-29,1.612300,-0.000600
1999-02-01,1.608900,-0.003400
1999-02-02,1.600200,-0.008700
1999-02-03,1.597500,-0.002700
1999-02-04,1.601700,0.004200
1999-02-05,1.601200,-0.000500
1999-02-08,1.601800,0.000600
1999-02-09,1.599900,-0.001900
1999-02-10,1.596300,-0.003600
1999-02-11,1.596600,0.000300
1999-02-12,1.599200,0.002600
1999-02-15,1.595000,-0.004200
1999-02-16,1.597500,0.002500
1999-02-17,1.597300,-0.000200
1999-02-18,1.598200,0.000900
1999-02-19,1.598200,0.000000
1999-02-22,1.598600,0.000400
1999-02-23,1.595400,-0.003200
1999-02-24,1.594000,-0.001400
1999-02-25,1.590500,-0.003500
1999-02-26,1.589000,-0.001500
1999-03-01,1.593000,0.004000
1999-03-02,1.591200,-0.001800
1999-03-03,1.592600,0.001400
1999-03-04,1.588300,-0.004300
1999-03-05,1.591200,0.002900
1999-03-08,1.593300,0.002100
1999-03-09,1.593100,-0.000200
1999-03-10,1.601400,0.008300
1999-03-11,1.597200,-0.004200
1999-03-12,1.597500,0.000300
1999-03-15,1.601000,0.003500
1999-03-16,1.599500,-0.001500
1999-03-17,1.598700,-0.000800
1999-03-18,1.597500,-0.001200
1999-03-19,1.598600,0.001100
1999-03-22,1.596600,-0.002000
1999-03-23,1.594500,-0.002100
1999-03-24,1.590800,-0.003700
1999-03-25,1.594400,0.003600
1999-03-26,1.596500,0.002100
1999-03-29,1.594300,-0.002200
1999-03-30,1.595600,0.001300
1999-03-31,1.598100,0.002500
1999-04-01,1.595700,-0.002400
1999-04-02,1.597300,0.001600
1999-04-05,1.596800,-0.000500
1999-04-06,1.595000,-0.001800
1999-04-07,1.595200,0.000200
1999-04-08,1.595800,0.000600
1999-04-09,1.596800,0.001000
1999-04-12,1.603000,0.006200
1999-04-13,1.603200,0.000200
1999-04-14,1.605200,0.002000
1999-04-15,1.603500,-0.001700
1999-04-16,1.602700,-0.000800
1999-04-19,1.601500,-0.001200
1999-04-20,1.604000,0.002500
1999-04-21,1.600000,-0.004000
1999-04-22,1.601000,0.001000
1999-04-23,1.602300,0.001300
1999-04-26,1.602700,0.000400
1999-04-27,1.604700,0.002000
1999-04-28,1.608800,0.004100
1999-04-29,1.607200,-0.001600
1999-04-30,1.611300,0.004100
1999-05-03,1.611100,-0.000200
1999-05-04,1.609800,-0.001300
1999-05-05,1.604100,-0.005700
1999-05-06,1.608000,0.003900
1999-05-07,1.607800,-0.000200
1999-05-10,1.607500,-0.000300
1999-05-11,1.608200,0.000700
1999-05-12,1.605200,-0.003000
1999-05-13,1.601300,-0.003900
1999-05-14,1.602000,0.000700
1999-05-17,1.602300,0.000300
1999-05-18,1.602300,0.000000
1999-05-19,1.601700,-0.000600
1999-05-20,1.602000,0.000300
1999-05-21,1.603400,0.001400
1999-05-24,1.602300,-0.001100
1999-05-25,1.596400,-0.005900
1999-05-26,1.594900,-0.001500
1999-05-27,1.593900,-0.001000
1999-05-28,1.594100,0.000200
1999-05-31,1.594300,0.000200
1999-06-01,1.592800,-0.001500
1999-06-02,1.591200,-0.001600
1999-06-03,1.592800,0.001600
1999-06-04,1.587700,-0.005100
1999-06-07,1.585800,-0.001900
1999-06-08,1.590900,0.005100
1999-06-09,1.591400,0.000500
1999-06-10,1.594700,0.003300
1999-06-11,1.597000,0.002300
1999-06-14,1.595200,-0.001800
1999-06-15,1.594100,-0.001100
1999-06-16,1.594400,0.000300
1999-06-17,1.597600,0.003200
1999-06-18,1.596900,-0.000700
1999-06-21,1.596700,-0.000200
1999-06-22,1.595200,-0.001500
1999-06-23,1.597000,0.001800
1999-06-24,1.597700,0.000700
1999-06-25,1.599500,0.001800
1999-06-28,1.599500,0.000000
1999-06-29,1.601200,0.001700
1999-06-30,1.603400,0.002200
1999-07-01,1.604300,0.000900
1999-07-02,1.606000,0.001700
1999-07-05,1.605500,-0.000500
1999-07-06,1.604000,-0.001500
1999-07-07,1.603400,-0.000600
1999-07-08,1.602900,-0.000500
1999-07-09,1.606500,0.003600
1999-07-12,1.607200,0.000700
1999-07-13,1.603100,-0.004100
1999-07-14,1.604300,0.001200
1999-07-15,1.605500,0.001200
1999-07-16,1.605900,0.000400
1999-07-19,1.606700,0.000800
1999-07-20,1.603800,-0.002900
1999-07-21,1.605900,0.002100
1999-07-22,1.606800,0.000900
1999-07-23,1.605300,-0.001500
1999-07-26,1.606600,0.001300
1999-07-27,1.600000,-0.006600
1999-07-28,1.598600,-0.001400
1999-07-29,1.597900,-0.000700
1999-07-30,1.597600,-0.000300
1999-08-02,1.596300,-0.001300
1999-08-03,1.599400,0.003100
1999-08-04,1.600200,0.000800
1999-08-05,1.598600,-0.001600
1999-08-06,1.601900,0.003300
1999-08-09,1.599300,-0.002600
1999-08-10,1.600300,0.001000
1999-08-11,1.602300,0.002000
1999-08-12,1.602300,0.000000
1999-08-13,1.601500,-0.000800
1999-08-16,1.602000,0.000500
1999-08-17,1.601200,-0.000800
1999-08-18,1.601600,0.000400
1999-08-19,1.599700,-0.001900
1999-08-20,1.597500,-0.002200
1999-08-23,1.597300,-0.000200
1999-08-24,1.600900,0.003600
1999-08-25,1.601000,0.000100
1999-08-26,1.602000,0.001000
1999-08-27,1.601400,-0.000600
1999-08-30,1.601900,0.000500
1999-08-31,1.599700,-0.002200
1999-09-01,1.600400,0.000700
1999-09-02,1.599100,-0.001300
1999-09-03,1.596900,-0.002200
1999-09-06,1.597800,0.000900
1999-09-07,1.598900,0.001100
1999-09-08,1.599300,0.000400
1999-09-09,1.600200,0.000900
1999-09-10,1.602500,0.002300
1999-09-13,1.605600,0.003100
1999-09-14,1.604600,-0.001000
1999-09-15,1.603200,-0.001400
1999-09-16,1.603200,0.000000
1999-09-17,1.604700,0.001500
1999-09-20,1.604900,0.000200
1999-09-21,1.604800,-0.000100
1999-09-22,1.602400,-0.002400
1999-09-23,1.603900,0.001500
1999-09-24,1.600200,-0.003700
1999-09-27,1.601900,0.001700
1999-09-28,1.602300,0.000400
1999-09-29,1.600300,-0.002000
1999-09-30,1.596700,-0.003600
1999-10-01,1.598500,0.001800
1999-10-04,1.591500,-0.007000
1999-10-05,1.593200,0.001700
1999-10-06,1.590700,-0.002500
1999-10-07,1.592400,0.001700
1999-10-08,1.595600,0.003200
1999-10-11,1.594900,-0.000700
1999-10-12,1.594500,-0.000400
1999-10-13,1.590700,-0.003800
1999-10-14,1.590800,0.000100
1999-10-15,1.587200,-0.003600
1999-10-18,1.588200,0.001000
1999-10-19,1.589100,0.000900
1999-10-20,1.591200,0.002100
1999-10-21,1.592200,0.001000
1999-10-22,1.597200,0.005000
1999-10-25,1.598000,0.000800
1999-10-26,1.598900,0.000900
1999-10-27,1.599500,0.000600
1999-10-28,1.602300,0.002800
1999-10-29,1.603000,0.000700
1999-11-01,1.604200,0.001200
1999-11-02,1.605100,0.000900
1999-11-03,1.607700,0.002600
1999-11-04,1.611500,0.003800
1999-11-05,1.613700,0.002200
1999-11-08,1.610000,-0.003700
1999-11-09,1.608700,-0.001300
1999-11-10,1.607900,-0.000800
1999-11-11,1.608500,0.000600
1999-11-12,1.607800,-0.000700
1999-11-15,1.605700,-0.002100
1999-11-16,1.604700,-0.001000
1999-11-17,1.601500,-0.003200
1999-11-18,1.602000,0.000500
1999-11-19,1.603200,0.001200
1999-11-22,1.602900,-0.000300
1999-11-23,1.600900,-0.002000
1999-11-24,1.599700,-0.001200
1999-11-25,1.599900,0.000200
1999-11-26,1.601200,0.001300
1999-11-29,1.602900,0.001700
1999-11-30,1.602100,-0.000800
1999-12-01,1.600700,-0.001400
1999-12-02,1.599900,-0.000800
1999-12-03,1.596700,-0.003200
1999-12-06,1.596900,0.000200
1999-12-07,1.599900,0.003000
1999-12-08,1.601400,0.001500
1999-12-09,1.599100,-0.002300
1999-12-10,1.598400,-0.000700
1999-12-13,1.602000,0.003600
1999-12-14,1.601700,-0.000300
1999-12-15,1.600100,-0.001600
1999-12-16,1.601600,0.001500
1999-12-17,1.602800,0.001200
1999-12-20,1.600400,-0.002400
1999-12-21,1.599400,-0.001000
1999-12-22,1.599000,-0.000400
1999-12-23,1.601100,0.002100
1999-12-24,1.604300,0.003200
1999-12-27,1.604600,0.000300
1999-12-28,1.605700,0.001100
1999-12-29,1.605900,0.000200
1999-12-30,1.605100,-0.000800
2000-01-03,1.604300,-0.000800
2000-01-04,1.605300,0.001000
2000-01-05,1.606000,0.000700
2000-01-06,1.606800,0.000800
2000-01-07,1.607900,0.001100
2000-01-10,1.608900,0.001000
2000-01-11,1.609300,0.000400
2000-01-12,1.609800,0.000500
2000-01-13,1.611100,0.001300
2000-01-14,1.613000,0.001900
2000-01-17,1.613600,0.000600
2000-01-18,1.613100,-0.000500
2000-01-19,1.612000,-0.001100
2000-01-20,1.614700,0.002700
2000-01-21,1.610200,-0.004500
2000-01-24,1.613600,0.003400
2000-01-25,1.612100,-0.001500
2000-01-26,1.611600,-0.000500
2000-01-27,1.611300,-0.000300
2000-01-28,1.612100,0.000800
2000-01-31,1.609100,-0.003000
2000-02-01,1.607800,-0.001300
2000-02-02,1.610100,0.002300
2000-02-03,1.608300,-0.001800
2000-02-04,1.607700,-0.000600
2000-02-07,1.606500,-0.001200
2000-02-08,1.607400,0.000900
2000-02-09,1.609200,0.001800
2000-02-10,1.606000,-0.003200
2000-02-11,1.605600,-0.000400
2000-02-14,1.606600,0.001000
2000-02-15,1.606100,-0.000500
2000-02-16,1.603600,-0.002500
2000-02-17,1.604200,0.000600
2000-02-18,1.603200,-0.001000
2000-02-21,1.603100,-0.000100
2000-02-22,1.607200,0.004100
2000-02-23,1.610500,0.003300
2000-02-24,1.610100,-0.000400
2000-02-25,1.608300,-0.001800
2000-02-28,1.606400,-0.001900
2000-02-29,1.606700,0.000300
2000-03-01,1.606600,-0.000100
2000-03-02,1.607500,0.000900
2000-03-03,1.606300,-0.001200
2000-03-06,1.607200,0.000900
2000-03-07,1.608300,0.001100
2000-03-08,1.606100,-0.002200
2000-03-09,1.606100,0.000000
2000-03-10,1.607800,0.001700
2000-03-13,1.610800,0.003000
2000-03-14,1.611400,0.000600
2000-03-15,1.611500,0.000100
2000-03-16,1.611200,-0.000300
2000-03-17,1.612600,0.001400
2000-03-20,1.612600,0.000000
2000-03-21,1.611600,-0.001000
2000-03-22,1.609500,-0.002100
2000-03-23,1.604500,-0.005000
2000-03-24,1.593600,-0.010900
2000-03-27,1.590800,-0.002800
2000-03-28,1.590400,-0.000400
2000-03-29,1.589600,-0.000800
2000-03-30,1.590900,0.001300
2000-03-31,1.590700,-0.000200
2000-04-03,1.588600,-0.002100
2000-04-04,1.581700,-0.006900
2000-04-05,1.573200,-0.008500
2000-04-06,1.572500,-0.000700
2000-04-07,1.572700,0.000200
2000-04-10,1.573100,0.000400
2000-04-11,1.571800,-0.001300
2000-04-12,1.574500,0.002700
2000-04-13,1.573800,-0.000700
2000-04-14,1.573700,-0.000100
2000-04-17,1.568600,-0.005100
2000-04-18,1.571000,0.002400
2000-04-19,1.574800,0.003800
2000-04-20,1.572700,-0.002100
2000-04-25,1.571200,-0.001500
2000-04-26,1.572100,0.000900
2000-04-27,1.574200,0.002100
2000-04-28,1.571000,-0.003200
2000-05-02,1.559900,-0.011100
2000-05-03,1.541100,-0.018800
2000-05-04,1.547200,0.006100
2000-05-05,1.546700,-0.000500
2000-05-08,1.549400,0.002700
2000-05-09,1.548100,-0.001300
2000-05-10,1.560400,0.012300
2000-05-11,1.555900,-0.004500
2000-05-12,1.552800,-0.003100
2000-05-15,1.555400,0.002600
2000-05-16,1.552500,-0.002900
2000-05-17,1.548800,-0.003700
2000-05-18,1.553400,0.004600
2000-05-19,1.551200,-0.002200
2000-05-22,1.552700,0.001500
2000-05-23,1.563200,0.010500
2000-05-24,1.564100,0.000900
2000-05-25,1.557500,-0.006600
2000-05-26,1.564200,0.006700
2000-05-29,1.567700,0.003500
2000-05-30,1.571800,0.004100
2000-05-31,1.571600,-0.000200
2000-06-01,1.574000,0.002400
2000-06-02,1.572900,-0.001100
2000-06-05,1.573400,0.000500
2000-06-06,1.574000,0.000600
2000-06-07,1.567600,-0.006400
2000-06-08,1.566400,-0.001200
2000-06-09,1.566100,-0.000300
2000-06-12,1.562400,-0.003700
2000-06-13,1.562800,0.000400
2000-06-14,1.565100,0.002300
2000-06-15,1.564800,-0.000300
2000-06-16,1.561100,-0.003700
2000-06-19,1.561800,0.000700
2000-06-20,1.557700,-0.004100
2000-06-21,1.552200,-0.005500
2000-06-22,1.545100,-0.007100
2000-06-23,1.552100,0.007000
2000-06-26,1.547800,-0.004300
2000-06-27,1.548600,0.000800
2000-06-28,1.547900,-0.000700
2000-06-29,1.555800,0.007900
2000-06-30,1.557600,0.001800
2000-07-03,1.555100,-0.002500
2000-07-04,1.552800,-0.002300
2000-07-05,1.553200,0.000400
2000-07-06,1.548400,-0.004800
2000-07-07,1.545800,-0.002600
2000-07-10,1.546100,0.000300
2000-07-11,1.551600,0.005500
2000-07-12,1.552300,0.000700
2000-07-13,1.553200,0.000900
2000-07-14,1.547600,-0.005600
2000-07-17,1.546500,-0.001100
2000-07-18,1.550200,0.003700
2000-07-19,1.547300,-0.002900
2000-07-20,1.548800,0.001500
2000-07-21,1.551100,0.002300
2000-07-24,1.555500,0.004400
2000-07-25,1.553800,-0.001700
2000-07-26,1.551900,-0.001900
2000-07-27,1.553100,0.001200
2000-07-28,1.548600,-0.004500
2000-07-31,1.547700,-0.000900
2000-08-01,1.546000,-0.001700
2000-08-02,1.544900,-0.001100
2000-08-03,1.542500,-0.002400
2000-08-04,1.546400,0.003900
2000-08-07,1.547400,0.001000
2000-08-08,1.544000,-0.003400
2000-08-09,1.544300,0.000300
2000-08-10,1.544900,0.000600
2000-08-11,1.553100,0.008200
2000-08-14,1.554100,0.001000
2000-08-15,1.559100,0.005000
2000-08-16,1.559000,-0.000100
2000-08-17,1.562900,0.003900
2000-08-18,1.562200,-0.000700
2000-08-21,1.559800,-0.002400
2000-08-22,1.560800,0.001000
2000-08-23,1.552500,-0.008300
2000-08-24,1.548900,-0.003600
2000-08-25,1.545300,-0.003600
2000-08-28,1.543700,-0.001600
2000-08-29,1.544700,0.001000
2000-08-30,1.548300,0.003600
2000-08-31,1.549800,0.001500
2000-09-01,1.550000,0.000200
2000-09-04,1.553200,0.003200
2000-09-05,1.549000,-0.004200
2000-09-06,1.548200,-0.000800
2000-09-07,1.546800,-0.001400
2000-09-08,1.549000,0.002200
2000-09-11,1.529800,-0.019200
2000-09-12,1.521800,-0.008000
2000-09-13,1.528600,0.006800
2000-09-14,1.526500,-0.002100
2000-09-15,1.527800,0.001300
2000-09-18,1.523500,-0.004300
2000-09-19,1.520000,-0.003500
2000-09-20,1.512300,-0.007700
2000-09-21,1.510000,-0.002300
2000-09-22,1.531800,0.021800
2000-09-25,1.522100,-0.009700
2000-09-26,1.518800,-0.003300
2000-09-27,1.525400,0.006600
2000-09-28,1.525700,0.000300
2000-09-29,1.524000,-0.001700
2000-10-02,1.523700,-0.000300
2000-10-03,1.517000,-0.006700
2000-10-04,1.515500,-0.001500
2000-10-05,1.522800,0.007300
2000-10-06,1.525200,0.002400
2000-10-09,1.521300,-0.003900
2000-10-10,1.519100,-0.002200
2000-10-11,1.510900,-0.008200
2000-10-12,1.511500,0.000600
2000-10-13,1.506700,-0.004800
2000-10-16,1.512200,0.005500
2000-10-17,1.512300,0.000100
2000-10-18,1.508600,-0.003700
2000-10-19,1.504000,-0.004600
2000-10-20,1.505800,0.001800
2000-10-23,1.501400,-0.004400
2000-10-24,1.501600,0.000200
2000-10-25,1.501500,-0.000100
2000-10-26,1.508800,0.007300
2000-10-27,1.512400,0.003600
2000-10-30,1.523500,0.011100
2000-10-31,1.521000,-0.002500
2000-11-01,1.527900,0.006900
2000-11-02,1.528800,0.000900
2000-11-03,1.530000,0.001200
2000-11-06,1.525200,-0.004800
2000-11-07,1.521400,-0.003800
2000-11-08,1.519800,-0.001600
2000-11-09,1.520900,0.001100
2000-11-10,1.523300,0.002400
2000-11-13,1.521500,-0.001800
2000-11-14,1.519400,-0.002100
2000-11-15,1.522800,0.003400
2000-11-16,1.527200,0.004400
2000-11-17,1.524400,-0.002800
2000-11-20,1.529100,0.004700
2000-11-21,1.521600,-0.007500
2000-11-22,1.520400,-0.001200
2000-11-23,1.519100,-0.001300
2000-11-24,1.520500,0.001400
2000-11-27,1.515200,-0.005300
2000-11-28,1.514800,-0.000400
2000-11-29,1.513400,-0.001400
2000-11-30,1.509500,-0.003900
2000-12-01,1.513400,0.003900
2000-12-04,1.516600,0.003200
2000-12-05,1.509500,-0.007100
2000-12-06,1.511600,0.002100
2000-12-07,1.515200,0.003600
2000-12-08,1.512800,-0.002400
2000-12-11,1.509100,-0.003700
2000-12-12,1.504000,-0.005100
2000-12-13,1.503600,-0.000400
2000-12-14,1.505500,0.001900
2000-12-15,1.508600,0.003100
2000-12-18,1.505500,-0.003100
2000-12-19,1.506400,0.000900
2000-12-20,1.516200,0.009800
2000-12-21,1.524400,0.008200
2000-12-22,1.522000,-0.002400
2000-12-27,1.524300,0.002300
2000-12-28,1.527600,0.003300
2000-12-29,1.523200,-0.004400
2001-01-02,1.521800,-0.001400
2001-01-03,1.522000,0.000200
2001-01-04,1.521700,-0.000300
2001-01-05,1.529000,0.007300
2001-01-08,1.527100,-0.001900
2001-01-09,1.523200,-0.003900
2001-01-10,1.524300,0.001100
2001-01-11,1.532400,0.008100
2001-01-12,1.541000,0.008600
2001-01-15,1.542700,0.001700
2001-01-16,1.538500,-0.004200
2001-01-17,1.537400,-0.001100
2001-01-18,1.528300,-0.009100
2001-01-19,1.526800,-0.001500
2001-01-22,1.534000,0.007200
2001-01-23,1.531600,-0.002400
2001-01-24,1.532300,0.000700
2001-01-25,1.524700,-0.007600
2001-01-26,1.527800,0.003100
2001-01-29,1.522800,-0.005000
2001-01-30,1.520400,-0.002400
2001-01-31,1.530200,0.009800
2001-02-01,1.532700,0.002500
2001-02-02,1.537700,0.005000
2001-02-05,1.538300,0.000600
2001-02-06,1.538500,0.000200
2001-02-07,1.539200,0.000700
2001-02-08,1.531200,-0.008000
2001-02-09,1.534800,0.003600
2001-02-12,1.536900,0.002100
2001-02-13,1.537200,0.000300
2001-02-14,1.535500,-0.001700
2001-02-15,1.531500,-0.004000
2001-02-16,1.537000,0.005500
2001-02-19,1.536200,-0.000800
2001-02-20,1.535100,-0.001100
2001-02-21,1.536100,0.001000
2001-02-22,1.531700,-0.004400
2001-02-23,1.533400,0.001700
2001-02-26,1.533700,0.000300
2001-02-27,1.536800,0.003100
2001-02-28,1.541600,0.004800
2001-03-01,1.541100,-0.000500
2001-03-02,1.537900,-0.003200
2001-03-05,1.537600,-0.000300
2001-03-06,1.537300,-0.000300
2001-03-07,1.537200,-0.000100
2001-03-08,1.541800,0.004600
2001-03-09,1.543100,0.001300
2001-03-12,1.541300,-0.001800
2001-03-13,1.537400,-0.003900
2001-03-14,1.536100,-0.001300
2001-03-15,1.538700,0.002600
2001-03-16,1.536700,-0.002000
2001-03-19,1.535400,-0.001300
2001-03-20,1.531800,-0.003600
2001-03-21,1.533800,0.002000
2001-03-22,1.528300,-0.005500
2001-03-23,1.531900,0.003600
2001-03-26,1.532800,0.000900
2001-03-27,1.534700,0.001900
2001-03-28,1.530400,-0.004300
2001-03-29,1.527800,-0.002600
2001-03-30,1.527100,-0.000700
2001-04-02,1.526400,-0.000700
2001-04-03,1.527200,0.000800
2001-04-04,1.526400,-0.000800
2001-04-05,1.529100,0.002700
2001-04-06,1.527600,-0.001500
2001-04-09,1.529300,0.001700
2001-04-10,1.527500,-0.001800
2001-04-11,1.522400,-0.005100
2001-04-12,1.518400,-0.004000
2001-04-17,1.522500,0.004100
2001-04-18,1.528500,0.006000
2001-04-19,1.529000,0.000500
2001-04-20,1.531100,0.002100
2001-04-23,1.531100,0.000000
2001-04-24,1.528200,-0.002900
2001-04-25,1.532000,0.003800
2001-04-26,1.533400,0.001400
2001-04-27,1.537800,0.004400
2001-04-30,1.536600,-0.001200
2001-05-02,1.541600,0.005000
2001-05-03,1.541900,0.000300
2001-05-04,1.543400,0.001500
2001-05-07,1.543200,-0.000200
2001-05-08,1.541900,-0.001300
2001-05-09,1.540100,-0.001800
2001-05-10,1.540400,0.000300
2001-05-11,1.535300,-0.005100
2001-05-14,1.532700,-0.002600
2001-05-15,1.531900,-0.000800
2001-05-16,1.532900,0.001000
2001-05-17,1.533000,0.000100
2001-05-18,1.534100,0.001100
2001-05-21,1.531600,-0.002500
2001-05-22,1.531700,0.000100
2001-05-23,1.526900,-0.004800
2001-05-24,1.526900,0.000000
2001-05-25,1.527200,0.000300
2001-05-28,1.527200,0.000000
2001-05-29,1.526000,-0.001200
2001-05-30,1.525200,-0.000800
2001-05-31,1.520600,-0.004600
2001-06-01,1.520900,0.000300
2001-06-04,1.521800,0.000900
2001-06-05,1.514200,-0.007600
2001-06-06,1.518100,0.003900
2001-06-07,1.523600,0.005500
2001-06-08,1.521900,-0.001700
2001-06-11,1.522800,0.000900
2001-06-12,1.522200,-0.000600
2001-06-13,1.528000,0.005800
2001-06-14,1.525400,-0.002600
2001-06-15,1.525500,0.000100
2001-06-18,1.529200,0.003700
2001-06-19,1.530000,0.000800
2001-06-20,1.524800,-0.005200
2001-06-21,1.520400,-0.004400
2001-06-22,1.516800,-0.003600
2001-06-25,1.520200,0.003400
2001-06-26,1.522200,0.002000
2001-06-27,1.522300,0.000100
2001-06-28,1.519300,-0.003000
2001-06-29,1.522800,0.003500
2001-07-02,1.520900,-0.001900
2001-07-03,1.523600,0.002700
2001-07-04,1.519400,-0.004200
2001-07-05,1.521600,0.002200
2001-07-06,1.522000,0.000400
2001-07-09,1.519600,-0.002400
2001-07-10,1.523800,0.004200
2001-07-11,1.519400,-0.004400
2001-07-12,1.513800,-0.005600
2001-07-13,1.511800,-0.002000
2001-07-16,1.513500,0.001700
2001-07-17,1.512100,-0.001400
2001-07-18,1.504000,-0.008100
2001-07-19,1.507000,0.003000
2001-07-20,1.507800,0.000800
2001-07-23,1.505500,-0.002300
2001-07-24,1.506400,0.000900
2001-07-25,1.505400,-0.001000
2001-07-26,1.510700,0.005300
2001-07-27,1.508100,-0.002600
2001-07-30,1.511400,0.003300
2001-07-31,1.510200,-0.001200
2001-08-01,1.510600,0.000400
2001-08-02,1.509400,-0.001200
2001-08-03,1.507600,-0.001800
2001-08-06,1.507600,0.000000
2001-08-07,1.506000,-0.001600
2001-08-08,1.505900,-0.000100
2001-08-09,1.505700,-0.000200
2001-08-10,1.511700,0.006000
2001-08-13,1.513900,0.002200
2001-08-14,1.515500,0.001600
2001-08-15,1.518400,0.002900
2001-08-16,1.519300,0.000900
2001-08-17,1.518300,-0.001000
2001-08-20,1.518700,0.000400
2001-08-21,1.516600,-0.002100
2001-08-22,1.519900,0.003300
2001-08-23,1.519400,-0.000500
2001-08-24,1.519300,-0.000100
2001-08-27,1.519400,0.000100
2001-08-28,1.516600,-0.002800
2001-08-29,1.516800,0.000200
2001-08-30,1.517100,0.000300
2001-08-31,1.516500,-0.000600
2001-09-03,1.515600,-0.000900
2001-09-04,1.515100,-0.000500
2001-09-05,1.510100,-0.005000
2001-09-06,1.511500,0.001400
