Date,Price,Sign,Difference
2005-04-04,35.938000,-,0.177000
2005-04-05,35.790000,-,0.148000
2005-04-06,35.845000,+,0.055000
2005-04-07,35.963000,+,0.118000
2005-04-08,35.725000,-,0.238000
2005-04-11,36.030000,+,0.305000
2005-04-12,36.063000,+,0.033000
2005-04-13,35.915000,-,0.148000
2005-04-14,35.695000,-,0.220000
2005-04-15,35.865000,+,0.170000
2005-04-18,36.060000,+,0.195000
2005-04-19,36.100000,+,0.040000
2005-04-20,36.186000,+,0.086000
2005-04-21,36.194000,+,0.008000
2005-04-22,36.250000,+,0.056000
2005-04-25,36.005000,-,0.245000
2005-04-26,36.035000,+,0.030000
2005-04-27,35.925000,-,0.110000
2005-04-28,35.880000,-,0.045000
2005-04-29,35.989000,+,0.109000
2005-05-02,35.758000,-,0.231000
2005-05-03,35.785000,+,0.027000
2005-05-04,35.995000,+,0.210000
2005-05-05,35.990000,-,0.005000
2005-05-06,35.988000,-,0.002000
2005-05-09,35.646000,-,0.342000
2005-05-10,35.735000,+,0.089000
2005-05-11,35.832000,+,0.097000
2005-05-12,35.593000,-,0.239000
2005-05-13,35.290000,-,0.303000
2005-05-16,35.337000,+,0.047000
2005-05-17,35.375000,+,0.038000
2005-05-18,35.353000,-,0.022000
2005-05-19,35.340000,-,0.013000
2005-05-20,35.295000,-,0.045000
2005-05-23,35.215000,-,0.080000
2005-05-24,35.336000,+,0.121000
2005-05-25,35.230000,-,0.106000
2005-05-26,35.180000,-,0.050000
2005-05-27,35.235000,+,0.055000
2005-05-30,35.061000,-,0.174000
2005-05-31,34.837000,-,0.224000
2005-06-01,34.728000,-,0.109000
2005-06-02,34.772000,+,0.044000
2005-06-03,34.850000,+,0.078000
2005-06-06,34.882000,+,0.032000
2005-06-07,34.893000,+,0.011000
2005-06-08,34.950000,+,0.057000
2005-06-09,34.819000,-,0.131000
2005-06-10,34.805000,-,0.014000
2005-06-13,34.339000,-,0.466000
2005-06-14,34.595000,+,0.256000
2005-06-15,34.521000,-,0.074000
2005-06-16,34.620000,+,0.099000
2005-06-17,34.740000,+,0.120000
2005-06-20,34.793000,+,0.053000
2005-06-21,34.603000,-,0.190000
2005-06-22,34.657000,+,0.054000
2005-06-23,34.561000,-,0.096000
2005-06-24,34.598000,+,0.037000
2005-06-27,34.745000,+,0.147000
2005-06-28,34.618000,-,0.127000
2005-06-29,34.566000,-,0.052000
2005-06-30,34.637000,+,0.071000
2005-07-01,34.630000,-,0.007000
2005-07-04,34.279000,-,0.351000
2005-07-05,34.281000,+,0.002000
2005-07-06,34.351000,+,0.070000
2005-07-07,34.438000,+,0.087000
2005-07-08,34.315000,-,0.123000
2005-07-11,34.478000,+,0.163000
2005-07-12,34.785000,+,0.307000
