Date,Price,Sign,Difference
2005-04-04,1.288300,-,0.007600
2005-04-05,1.281000,-,0.007300
2005-04-06,1.286000,+,0.005000
2005-04-07,1.292300,+,0.006300
2005-04-08,1.281900,-,0.010400
2005-04-11,1.297100,+,0.015200
2005-04-12,1.298500,+,0.001400
2005-04-13,1.292200,-,0.006300
2005-04-14,1.282000,-,0.010200
2005-04-15,1.286800,+,0.004800
2005-04-18,1.296700,+,0.009900
2005-04-19,1.299600,+,0.002900
2005-04-20,1.304900,+,0.005300
2005-04-21,1.305800,+,0.000900
2005-04-22,1.307700,+,0.001900
2005-04-25,1.296600,-,0.011100
2005-04-26,1.298100,+,0.001500
2005-04-27,1.292000,-,0.006100
2005-04-28,1.290500,-,0.001500
2005-04-29,1.295700,+,0.005200
2005-05-02,1.286300,-,0.009400
2005-05-03,1.285600,-,0.000700
2005-05-04,1.295300,+,0.009700
2005-05-05,1.295400,+,0.000100
2005-05-06,1.294700,-,0.000700
2005-05-09,1.282400,-,0.012300
2005-05-10,1.285400,+,0.003000
2005-05-11,1.288200,+,0.002800
2005-05-12,1.277100,-,0.011100
2005-05-13,1.263500,-,0.013600
2005-05-16,1.261600,-,0.001900
2005-05-17,1.263600,+,0.002000
2005-05-18,1.262100,-,0.001500
2005-05-19,1.264200,+,0.002100
2005-05-20,1.260700,-,0.003500
2005-05-23,1.254800,-,0.005900
2005-05-24,1.261700,+,0.006900
2005-05-25,1.256400,-,0.005300
2005-05-26,1.252300,-,0.004100
2005-05-27,1.255100,+,0.002800
2005-05-30,1.247200,-,0.007900
2005-05-31,1.233100,-,0.014100
2005-06-01,1.222800,-,0.010300
2005-06-02,1.226300,+,0.003500
2005-06-03,1.228900,+,0.002600
2005-06-06,1.227200,-,0.001700
2005-06-07,1.228500,+,0.001300
2005-06-08,1.232400,+,0.003900
2005-06-09,1.223900,-,0.008500
2005-06-10,1.222900,-,0.001000
2005-06-13,1.206200,-,0.016700
2005-06-14,1.211000,+,0.004800
2005-06-15,1.206900,-,0.004100
2005-06-16,1.211500,+,0.004600
2005-06-17,1.217700,+,0.006200
2005-06-20,1.221000,+,0.003300
2005-06-21,1.209200,-,0.011800
2005-06-22,1.211100,+,0.001900
2005-06-23,1.206600,-,0.004500
2005-06-24,1.208200,+,0.001600
2005-06-27,1.216400,+,0.008200
2005-06-28,1.209500,-,0.006900
2005-06-29,1.205400,-,0.004100
2005-06-30,1.209200,+,0.003800
2005-07-01,1.208700,-,0.000500
2005-07-04,1.189400,-,0.019300
2005-07-05,1.188300,-,0.001100
2005-07-06,1.191300,+,0.003000
2005-07-07,1.195700,+,0.004400
2005-07-08,1.190400,-,0.005300
2005-07-11,1.200600,+,0.010200
2005-07-12,1.216600,+,0.016000
2005-07-13,1.218400,+,0.001800
