Date,Price,Sign,Difference
1999-01-05,2.263830,-,0.009830
1999-01-06,2.277558,+,0.013728
1999-01-07,2.290147,+,0.012589
1999-01-08,2.274880,-,0.015266
1999-01-11,2.286201,+,0.011321
1999-01-12,2.274554,-,0.011647
1999-01-13,2.248871,-,0.025684
1999-01-14,2.256301,+,0.007431
1999-01-15,2.270777,+,0.014476
1999-01-18,2.282048,+,0.011271
1999-01-19,2.285857,+,0.003810
1999-01-20,2.284574,-,0.001283
1999-01-21,2.282500,-,0.002073
1999-01-22,2.281656,-,0.000844
1999-01-25,2.284447,+,0.002791
1999-01-26,2.296732,+,0.012285
1999-01-27,2.307979,+,0.011248
1999-01-28,2.328089,+,0.020110
1999-01-29,2.333285,+,0.005196
1999-02-01,2.330388,-,0.002897
1999-02-02,2.323171,-,0.007217
1999-02-03,2.306859,-,0.016312
1999-02-04,2.323325,+,0.016465
1999-02-05,2.325635,+,0.002311
1999-02-08,2.325494,-,0.000142
1999-02-09,2.315005,-,0.010489
1999-02-10,2.295513,-,0.019492
1999-02-11,2.289032,-,0.006481
1999-02-12,2.311985,+,0.022953
1999-02-15,2.313270,+,0.001286
1999-02-16,2.330756,+,0.017485
1999-02-17,2.324022,-,0.006734
1999-02-18,2.326008,+,0.001986
1999-02-19,2.337233,+,0.011225
1999-02-22,2.354691,+,0.017458
1999-02-23,2.347557,-,0.007134
1999-02-24,2.315851,-,0.031707
1999-02-25,2.309088,-,0.006762
1999-02-26,2.311945,+,0.002857
1999-03-01,2.332699,+,0.020753
1999-03-02,2.352454,+,0.019755
1999-03-03,2.368883,+,0.016429
1999-03-04,2.349904,-,0.018979
1999-03-05,2.361882,+,0.011978
1999-03-08,2.351387,-,0.010495
1999-03-09,2.358750,+,0.007363
1999-03-10,2.373851,+,0.015101
1999-03-11,2.386017,+,0.012166
1999-03-12,2.389321,+,0.003304
1999-03-15,2.375723,-,0.013598
1999-03-16,2.386245,+,0.010522
1999-03-17,2.370552,-,0.015693
1999-03-18,2.363166,-,0.007386
1999-03-19,2.383125,+,0.019959
1999-03-22,2.391194,+,0.008069
1999-03-23,2.377721,-,0.013472
1999-03-24,2.391102,+,0.013380
1999-03-25,2.391122,+,0.000020
1999-03-26,2.400752,+,0.009630
1999-03-29,2.410128,+,0.009377
1999-03-30,2.403736,-,0.006392
1999-03-31,2.398469,-,0.005267
1999-04-01,2.385202,-,0.013267
1999-04-02,2.376935,-,0.008267
1999-04-05,2.382572,+,0.005638
1999-04-06,2.359817,-,0.022756
1999-04-07,2.355582,-,0.004235
1999-04-08,2.370822,+,0.015240
1999-04-09,2.374777,+,0.003955
1999-04-12,2.384352,+,0.009575
1999-04-13,2.403238,+,0.018886
1999-04-14,2.407680,+,0.004442
1999-04-15,2.399731,-,0.007949
1999-04-16,2.416252,+,0.016521
1999-04-19,2.431673,+,0.015421
1999-04-20,2.434360,+,0.002687
1999-04-21,2.426816,-,0.007544
1999-04-22,2.431283,+,0.004467
1999-04-23,2.433997,+,0.002713
1999-04-26,2.439793,+,0.005796
1999-04-27,2.436162,-,0.003631
1999-04-28,2.443871,+,0.007708
1999-04-29,2.441069,-,0.002801
1999-04-30,2.452138,+,0.011069
1999-05-03,2.451834,-,0.000304
1999-05-04,2.456585,+,0.004751
1999-05-05,2.448260,-,0.008325
1999-05-06,2.435995,-,0.012266
1999-05-07,2.432375,-,0.003619
1999-05-10,2.434131,+,0.001756
1999-05-11,2.429672,-,0.004459
1999-05-12,2.440626,+,0.010954
1999-05-13,2.441006,+,0.000380
1999-05-14,2.426905,-,0.014101
1999-05-17,2.428463,+,0.001558
1999-05-18,2.430674,+,0.002210
1999-05-19,2.438271,+,0.007597
1999-05-20,2.430587,-,0.007684
1999-05-21,2.435668,+,0.005080
1999-05-24,2.421490,-,0.014178
1999-05-25,2.406391,-,0.015099
1999-05-26,2.423860,+,0.017469
1999-05-27,2.433064,+,0.009203
1999-05-28,2.435228,+,0.002164
1999-05-31,2.443746,+,0.008519
1999-06-01,2.448578,+,0.004832
