Date,Price,Difference
1999-01-05,1.404100,-0.002172
1999-01-06,1.413228,0.009128
1999-01-07,1.416732,0.003504
1999-01-08,1.409642,-0.007090
1999-01-11,1.419648,0.010006
1999-01-12,1.415228,-0.004420
1999-01-13,1.411632,-0.003596
1999-01-14,1.416029,0.004398
1999-01-15,1.420656,0.004627
1999-01-18,1.425923,0.005267
1999-01-19,1.428571,0.002648
1999-01-20,1.425720,-0.002851
1999-01-21,1.423893,-0.001827
1999-01-22,1.427552,0.003659
1999-01-25,1.430820,0.003268
1999-01-26,1.433486,0.002666
1999-01-27,1.435132,0.001646
1999-01-28,1.443418,0.008286
1999-01-29,1.447178,0.003760
1999-02-01,1.448436,0.001258
1999-02-02,1.451800,0.003365
1999-02-03,1.444043,-0.007757
1999-02-04,1.450537,0.006493
1999-02-05,1.452433,0.001896
1999-02-08,1.451800,-0.000633
1999-02-09,1.446969,-0.004832
1999-02-10,1.438021,-0.008947
1999-02-11,1.433692,-0.004330
1999-02-12,1.445713,0.012022
1999-02-15,1.450326,0.004613
1999-02-16,1.459002,0.008676
1999-02-17,1.454969,-0.004033
1999-02-18,1.455392,0.000424
1999-02-19,1.462416,0.007024
1999-02-22,1.472971,0.010555
1999-02-23,1.471454,-0.001517
1999-02-24,1.452855,-0.018599
1999-02-25,1.451800,-0.001055
1999-02-26,1.454969,0.003168
1999-03-01,1.464343,0.009375
1999-03-02,1.478415,0.014072
1999-03-03,1.487431,0.009016
1999-03-04,1.479509,-0.007922
1999-03-05,1.484340,0.004831
1999-03-08,1.475797,-0.008543
1999-03-09,1.480604,0.004807
1999-03-10,1.482360,0.001756
1999-03-11,1.493875,0.011515
1999-03-12,1.495663,0.001787
1999-03-15,1.483900,-0.011763
1999-03-16,1.491869,0.007970
1999-03-17,1.482800,-0.009070
1999-03-18,1.479290,-0.003510
1999-03-19,1.490757,0.011467
1999-03-22,1.497679,0.006921
1999-03-23,1.491202,-0.006477
1999-03-24,1.503081,0.011879
1999-03-25,1.499700,-0.003381
1999-03-26,1.503759,0.004059
1999-03-29,1.511716,0.007956
1999-03-30,1.506478,-0.005238
1999-03-31,1.500825,-0.005652
1999-04-01,1.494768,-0.006057
1999-04-02,1.488095,-0.006673
1999-04-05,1.492092,0.003997
1999-04-06,1.479509,-0.012583
1999-04-07,1.476669,-0.002840
1999-04-08,1.485663,0.008995
1999-04-09,1.487210,0.001547
1999-04-12,1.487431,0.000221
1999-04-13,1.499026,0.011594
1999-04-14,1.499925,0.000899
1999-04-15,1.496558,-0.003367
1999-04-16,1.507613,0.011056
1999-04-19,1.518372,0.010759
1999-04-20,1.517681,-0.000691
1999-04-21,1.516760,-0.000921
1999-04-22,1.518603,0.001843
1999-04-23,1.519064,0.000461
1999-04-26,1.522302,0.003237
1999-04-27,1.518142,-0.004160
1999-04-28,1.519064,0.000922
1999-04-29,1.518834,-0.000231
1999-04-30,1.521838,0.003005
1999-05-03,1.521838,0.000000
1999-05-04,1.526019,0.004180
1999-05-05,1.526252,0.000233
1999-05-06,1.514922,-0.011330
1999-05-07,1.512859,-0.002063
1999-05-10,1.514234,0.001374
1999-05-11,1.510802,-0.003432
1999-05-12,1.520450,0.009648
1999-05-13,1.524390,0.003940
1999-05-14,1.514922,-0.009468
1999-05-17,1.515611,0.000689
1999-05-18,1.516990,0.001380
1999-05-19,1.522302,0.005311
1999-05-20,1.517220,-0.005081
1999-05-21,1.519064,0.001844
1999-05-24,1.511259,-0.007805
1999-05-25,1.507386,-0.003873
1999-05-26,1.519757,0.012371
1999-05-27,1.526485,0.006728
1999-05-28,1.527650,0.001166
1999-05-31,1.532802,0.005151
1999-06-01,1.537279,0.004477
1999-06-02,1.552072,0.014793
1999-06-03,1.548467,-0.003605
1999-06-04,1.559576,0.011109
1999-06-07,1.559089,-0.000486
1999-06-08,1.541070,-0.018020
1999-06-09,1.533037,-0.008033
1999-06-10,1.529520,-0.003517
1999-06-11,1.537043,0.007523
1999-06-14,1.544879,0.007836
1999-06-15,1.538225,-0.006654
1999-06-16,1.536098,-0.002127
1999-06-17,1.542972,0.006873
1999-06-18,1.537043,-0.005929
1999-06-21,1.537043,0.000000
1999-06-22,1.538935,0.001892
1999-06-23,1.535862,-0.003073
1999-06-24,1.530690,-0.005172
1999-06-25,1.520219,-0.010471
1999-06-28,1.523461,0.003242
1999-06-29,1.528117,0.004656
1999-06-30,1.523693,-0.004424
1999-07-01,1.537988,0.014295
1999-07-02,1.538935,0.000947
1999-07-05,1.540595,0.001660
