Date,Price,Sign,Difference
1999-01-05,183.880932,-,4.179819
1999-01-06,185.726399,+,1.845467
1999-01-07,183.367571,-,2.358828
1999-01-08,183.380321,+,0.012750
1999-01-11,179.344123,-,4.036199
1999-01-12,183.455986,+,4.111864
1999-01-13,186.180124,+,2.724138
1999-01-14,187.963750,+,1.783625
1999-01-15,187.157267,-,0.806483
1999-01-18,189.505205,+,2.347938
1999-01-19,188.771429,-,0.733776
1999-01-20,187.610493,-,1.160935
1999-01-21,185.590204,-,2.020290
1999-01-22,188.265525,+,2.675321
1999-01-25,188.996995,+,0.731471
1999-01-26,188.947821,-,0.049174
1999-01-27,189.308266,+,0.360445
1999-01-28,190.892032,+,1.583766
1999-01-29,191.172214,+,0.280182
1999-02-01,189.571263,-,1.600951
1999-02-02,185.394890,-,4.176373
1999-02-03,183.191336,-,2.203554
1999-02-04,185.161010,+,1.969674
1999-02-05,185.838780,+,0.677770
1999-02-08,185.569106,-,0.269674
1999-02-09,187.975691,+,2.406585
1999-02-10,187.992522,+,0.016831
1999-02-11,185.448029,-,2.544494
1999-02-12,186.381379,+,0.933351
1999-02-15,187.541697,+,1.160318
1999-02-16,192.325649,+,4.783952
1999-02-17,194.209225,+,1.883575
1999-02-18,195.604715,+,1.395491
1999-02-19,195.919860,+,0.315144
1999-02-22,196.803653,+,0.883793
1999-02-23,195.909358,-,0.894295
1999-02-24,194.479152,-,1.430207
1999-02-25,192.900697,-,1.578455
1999-02-26,191.081042,-,1.819655
1999-03-01,192.019329,+,0.938288
1999-03-02,194.219397,+,2.200067
1999-03-03,196.608657,+,2.389260
1999-03-04,198.135819,+,1.527162
1999-03-05,197.699273,-,0.436546
1999-03-08,195.941558,-,1.757714
1999-03-09,196.106011,+,0.164453
1999-03-10,195.286095,-,0.819916
1999-03-11,195.697640,+,0.411544
1999-03-12,195.632665,-,0.064974
1999-03-15,191.200475,-,4.432190
1999-03-16,191.928987,+,0.728512
1999-03-17,193.030842,+,1.101855
1999-03-18,191.982249,-,1.048594
1999-03-19,190.802027,-,1.180221
1999-03-22,191.702861,+,0.900833
1999-03-23,192.275574,+,0.572714
1999-03-24,193.296257,+,1.020683
1999-03-25,192.936413,-,0.359845
1999-03-26,193.879699,+,0.943287
1999-03-29,194.678760,+,0.799061
1999-03-30,194.124736,-,0.554024
1999-03-31,191.820501,-,2.304235
1999-04-01,192.406577,+,0.586076
1999-04-02,193.229167,+,0.822590
1999-04-05,194.792599,+,1.563433
1999-04-06,192.321349,-,2.471250
1999-04-07,193.842292,+,1.520942
1999-04-08,193.804784,-,0.037508
1999-04-09,194.452707,+,0.647923
1999-04-12,193.767663,-,0.685043
1999-04-13,194.363664,+,0.596000
1999-04-14,192.815359,-,1.548304
1999-04-15,191.574379,-,1.240980
1999-04-16,190.200513,-,1.373866
1999-04-19,190.813848,+,0.613335
1999-04-20,190.438610,-,0.375238
1999-04-21,191.506143,+,1.067533
1999-04-22,192.786636,+,1.280493
1999-04-23,193.300927,+,0.514290
1999-04-26,192.144923,-,1.156004
1999-04-27,193.320176,+,1.175253
1999-04-28,192.997114,-,0.323062
1999-04-29,191.616039,-,1.381075
1999-04-30,193.121291,+,1.505252
1999-05-03,193.166946,+,0.045655
1999-05-04,195.391424,+,2.224478
1999-05-05,196.550672,+,1.159248
1999-05-06,197.848811,+,1.298139
1999-05-07,196.868381,-,0.980430
1999-05-10,196.577832,-,0.290550
1999-05-11,196.358967,-,0.218865
1999-05-12,195.955603,-,0.403364
1999-05-13,196.951220,+,0.995617
1999-05-14,198.121497,+,1.170277
1999-05-17,199.257351,+,1.135854
1999-05-18,199.666262,+,0.408911
1999-05-19,201.552748,+,1.886486
1999-05-20,200.515855,-,1.036893
1999-05-21,199.377184,-,1.138671
1999-05-24,197.763337,-,1.613847
1999-05-25,196.578233,-,1.185104
1999-05-26,195.699088,-,0.879145
1999-05-27,195.466341,-,0.232747
1999-05-28,193.553315,-,1.913026
1999-05-31,194.941754,+,1.388439
1999-06-01,194.235204,-,0.706550
1999-06-02,195.110973,+,0.875769
1999-06-03,194.797151,-,0.313822
1999-06-04,195.648784,+,0.851633
1999-06-07,194.418460,-,1.230324
1999-06-08,194.159347,-,0.259113
1999-06-09,190.832439,-,3.326908
1999-06-10,190.425206,-,0.407233
1999-06-11,190.731632,+,0.306426
1999-06-14,193.758690,+,3.027058
1999-06-15,192.693432,-,1.065258
1999-06-16,191.090630,-,1.602802
1999-06-17,191.282210,+,0.191580
1999-06-18,191.392561,+,0.110351
1999-06-21,194.128497,+,2.735936
1999-06-22,193.290243,-,0.838254
1999-06-23,192.827523,-,0.462720
1999-06-24,192.943518,+,0.115995
1999-06-25,192.763758,-,0.179760
1999-06-28,191.895186,-,0.868572
1999-06-29,191.473105,-,0.422081
1999-06-30,190.187414,-,1.285691
1999-07-01,190.895109,+,0.707695
1999-07-02,190.720222,-,0.174888
1999-07-05,192.851641,+,2.131419
1999-07-06,191.694811,-,1.156830
1999-07-07,190.111230,-,1.583582
1999-07-08,190.586797,+,0.475567
1999-07-09,189.539304,-,1.047493
1999-07-12,189.704305,+,0.165002
1999-07-13,189.400428,-,0.303877
1999-07-14,188.517553,-,0.882875
1999-07-15,188.914479,+,0.396925
1999-07-16,189.199570,+,0.285091
1999-07-19,186.760866,-,2.438704
1999-07-20,185.992747,-,0.768119
1999-07-21,186.682700,+,0.689952
1999-07-22,186.781090,+,0.098390
1999-07-23,183.840820,-,2.940270
1999-07-26,183.925123,+,0.084303
1999-07-27,186.032934,+,2.107812
1999-07-28,184.273530,-,1.759404
1999-07-29,184.816204,+,0.542674
1999-07-30,186.708093,+,1.891889
1999-08-02,184.918829,-,1.789265
1999-08-03,186.232544,+,1.313715
1999-08-04,186.192847,-,0.039697
1999-08-05,184.962519,-,1.230329
1999-08-06,185.157895,+,0.195376
1999-08-09,185.101275,-,0.056619
1999-08-10,185.199098,+,0.097823
1999-08-11,185.595652,+,0.396553
1999-08-12,186.347142,+,0.751491
1999-08-13,184.937302,-,1.409841
1999-08-16,184.176158,-,0.761144
1999-08-17,182.776428,-,1.399730
1999-08-18,181.360586,-,1.415842
1999-08-19,178.492984,-,2.867602
1999-08-20,180.819423,+,2.326440
1999-08-23,179.376900,-,1.442524
1999-08-24,178.558394,-,0.818506
1999-08-25,176.049909,-,2.508485
1999-08-26,177.030727,+,0.980818
1999-08-27,177.109897,+,0.079170
1999-08-30,176.390155,-,0.719742
1999-08-31,175.444191,-,0.945964
1999-09-01,175.944183,+,0.499992
1999-09-02,175.177198,-,0.766985
1999-09-03,176.846548,+,1.669350
1999-09-06,176.025428,-,0.821121
1999-09-07,178.588808,+,2.563380
1999-09-08,179.758262,+,1.169454
1999-09-09,177.122678,-,2.635584
1999-09-10,177.935943,+,0.813265
1999-09-13,171.453098,-,6.482845
1999-09-14,170.454545,-,0.998553
1999-09-15,167.038069,-,3.416477
1999-09-16,168.453865,+,1.415797
1999-09-17,172.287093,+,3.833228
1999-09-20,174.851794,+,2.564701
1999-09-21,170.327432,-,4.524362
1999-09-22,170.449946,+,0.122513
1999-09-23,169.718310,-,0.731636
1999-09-24,171.634766,+,1.916456
1999-09-27,173.336494,+,1.701728
1999-09-28,174.960704,+,1.624210
1999-09-29,175.505443,+,0.544739
