Date,Price,Sign,Difference
2005-04-04,52.311499,-,0.284438
2005-04-05,52.316913,+,0.005413
2005-04-06,52.324648,+,0.007735
2005-04-07,52.317428,-,0.007220
2005-04-08,52.084852,-,0.232576
2005-04-11,52.491259,+,0.406407
2005-04-12,52.615991,+,0.124732
2005-04-13,52.557255,-,0.058736
2005-04-14,52.388640,-,0.168615
2005-04-15,52.587977,+,0.199336
2005-04-18,52.781030,+,0.193054
2005-04-19,53.033642,+,0.252611
2005-04-20,53.113166,+,0.079524
2005-04-21,52.857247,-,0.255919
2005-04-22,53.086329,+,0.229082
2005-04-25,53.053857,-,0.032472
2005-04-26,52.903178,-,0.150678
2005-04-27,52.861978,-,0.041201
2005-04-28,52.975048,+,0.113070
2005-04-29,53.120295,+,0.145247
2005-05-02,52.876895,-,0.243401
2005-05-03,52.628870,-,0.248025
2005-05-04,52.797946,+,0.169077
2005-05-05,52.872043,+,0.074097
2005-05-06,52.764460,-,0.107583
2005-05-09,52.305209,-,0.459251
2005-05-10,52.335970,+,0.030760
2005-05-11,52.378307,+,0.042338
2005-05-12,52.089858,-,0.288449
2005-05-13,51.885613,-,0.204245
2005-05-16,51.444169,-,0.441444
2005-05-17,51.465774,+,0.021605
2005-05-18,51.359047,-,0.106727
2005-05-19,51.426077,+,0.067030
2005-05-20,51.364331,-,0.061746
2005-05-23,51.311380,-,0.052951
2005-05-24,51.386607,+,0.075227
2005-05-25,51.217562,-,0.169045
2005-05-26,51.178353,-,0.039209
2005-05-27,51.280745,+,0.102392
2005-05-30,51.187678,-,0.093067
2005-05-31,51.450303,+,0.262625
2005-06-01,51.414612,-,0.035690
2005-06-02,51.487377,+,0.072764
2005-06-03,51.576143,+,0.088766
2005-06-06,51.692353,+,0.116210
2005-06-07,51.958901,+,0.266548
2005-06-08,52.090320,+,0.131419
2005-06-09,51.868017,-,0.222302
2005-06-10,51.916766,+,0.048749
2005-06-13,51.382613,-,0.534154
2005-06-14,51.672890,+,0.290278
2005-06-15,51.778911,+,0.106021
2005-06-16,52.087565,+,0.308654
2005-06-17,52.021563,-,0.066002
2005-06-20,52.042480,+,0.020917
2005-06-21,52.073740,+,0.031260
2005-06-22,52.104037,+,0.030297
2005-06-23,52.175423,+,0.071386
2005-06-24,52.184012,+,0.008589
2005-06-27,52.240265,+,0.056253
2005-06-28,52.088474,-,0.151790
2005-06-29,51.830859,-,0.257615
2005-06-30,51.374963,-,0.455896
2005-07-01,51.001473,-,0.373490
2005-07-04,50.674847,-,0.326626
2005-07-05,50.610467,-,0.064379
2005-07-06,50.627856,+,0.017388
2005-07-07,50.267114,-,0.360741
2005-07-08,50.000000,-,0.267114
2005-07-11,50.113372,+,0.113372
2005-07-12,50.548572,+,0.435200
2005-07-13,50.478330,-,0.070242
2005-07-14,50.418821,-,0.059509
2005-07-15,50.429904,+,0.011082
2005-07-18,50.115226,-,0.314678
2005-07-19,50.032711,-,0.082515
2005-07-20,49.832925,-,0.199785
2005-07-21,50.035920,+,0.202994
2005-07-22,49.978420,-,0.057499
