Date,Price,Sign,Difference
1999-01-05,1.655434,-,0.002420
1999-01-06,1.659553,+,0.004120
1999-01-07,1.647942,-,0.011611
1999-01-08,1.643502,-,0.004441
1999-01-11,1.642391,-,0.001111
1999-01-12,1.630342,-,0.012048
1999-01-13,1.657820,+,0.027478
1999-01-14,1.650099,-,0.007721
1999-01-15,1.651655,+,0.001556
1999-01-18,1.655782,+,0.004127
1999-01-19,1.659429,+,0.003646
1999-01-20,1.650271,-,0.009158
1999-01-21,1.647729,-,0.002542
1999-01-22,1.651249,+,0.003520
1999-01-25,1.657462,+,0.006213
1999-01-26,1.660264,+,0.002802
1999-01-27,1.654564,-,0.005700
1999-01-28,1.646940,-,0.007624
1999-01-29,1.647467,+,0.000527
1999-02-01,1.642236,-,0.005231
1999-02-02,1.645906,+,0.003670
1999-02-03,1.637112,-,0.008794
1999-02-04,1.633739,-,0.003372
1999-02-05,1.640087,+,0.006348
1999-02-08,1.632695,-,0.007393
1999-02-09,1.639850,+,0.007155
1999-02-10,1.631004,-,0.008846
1999-02-11,1.621792,-,0.009212
1999-02-12,1.625560,+,0.003768
1999-02-15,1.629877,+,0.004317
1999-02-16,1.630581,+,0.000704
1999-02-17,1.637276,+,0.006696
1999-02-18,1.634697,-,0.002580
1999-02-19,1.632495,-,0.002202
1999-02-22,1.619090,-,0.013405
1999-02-23,1.614038,-,0.005052
1999-02-24,1.603516,-,0.010522
1999-02-25,1.601481,-,0.002035
1999-02-26,1.603085,+,0.001604
1999-03-01,1.608727,+,0.005643
1999-03-02,1.609551,+,0.000823
1999-03-03,1.621151,+,0.011601
1999-03-04,1.607634,-,0.013517
1999-03-05,1.608134,+,0.000500
1999-03-08,1.609799,+,0.001665
1999-03-09,1.608380,-,0.001419
1999-03-10,1.623629,+,0.015249
1999-03-11,1.626979,+,0.003351
1999-03-12,1.635058,+,0.008079
1999-03-15,1.624722,-,0.010337
1999-03-16,1.626287,+,0.001565
1999-03-17,1.626038,-,0.000249
1999-03-18,1.628994,+,0.002956
1999-03-19,1.627162,-,0.001832
1999-03-22,1.627078,-,0.000084
1999-03-23,1.624814,-,0.002264
1999-03-24,1.642567,+,0.017754
1999-03-25,1.634373,-,0.008194
1999-03-26,1.626316,-,0.008057
1999-03-29,1.616327,-,0.009989
1999-03-30,1.613588,-,0.002738
1999-03-31,1.612187,-,0.001402
1999-04-01,1.610164,-,0.002022
1999-04-02,1.602976,-,0.007188
1999-04-05,1.604297,+,0.001321
1999-04-06,1.586921,-,0.017376
1999-04-07,1.596574,+,0.009653
1999-04-08,1.607191,+,0.010616
1999-04-09,1.602915,-,0.004276
1999-04-12,1.616391,+,0.013477
1999-04-13,1.613701,-,0.002690
1999-04-14,1.617969,+,0.004268
1999-04-15,1.614187,-,0.003782
1999-04-16,1.608322,-,0.005865
1999-04-19,1.614941,+,0.006619
1999-04-20,1.615723,+,0.000782
1999-04-21,1.605642,-,0.010081
1999-04-22,1.606834,+,0.001191
1999-04-23,1.615373,+,0.008539
1999-04-26,1.615771,+,0.000398
1999-04-27,1.613785,-,0.001986
1999-04-28,1.620234,+,0.006449
1999-04-29,1.610571,-,0.009663
1999-04-30,1.612692,+,0.002121
1999-05-03,1.611475,-,0.001217
1999-05-04,1.612086,+,0.000611
1999-05-05,1.628053,+,0.015966
1999-05-06,1.635964,+,0.007912
1999-05-07,1.631770,-,0.004194
1999-05-10,1.625530,-,0.006240
1999-05-11,1.621393,-,0.004137
1999-05-12,1.618519,-,0.002874
1999-05-13,1.619207,+,0.000688
1999-05-14,1.617331,-,0.001877
1999-05-17,1.619430,+,0.002099
1999-05-18,1.621663,+,0.002232
1999-05-19,1.618816,-,0.002847
1999-05-20,1.614171,-,0.004645
1999-05-21,1.605955,-,0.008216
1999-05-24,1.599668,-,0.006287
1999-05-25,1.601899,+,0.002232
1999-05-26,1.601064,-,0.000835
1999-05-27,1.598687,-,0.002377
1999-05-28,1.600825,+,0.002138
1999-05-31,1.602698,+,0.001873
1999-06-01,1.603997,+,0.001299
1999-06-02,1.611361,+,0.007364
1999-06-03,1.607618,-,0.003743
1999-06-04,1.608702,+,0.001084
1999-06-07,1.608357,-,0.000346
1999-06-08,1.600401,-,0.007956
1999-06-09,1.604476,+,0.004076
1999-06-10,1.602019,-,0.002458
1999-06-11,1.609899,+,0.007880
1999-06-14,1.612390,+,0.002491
1999-06-15,1.598523,-,0.013867
1999-06-16,1.589094,-,0.009430
1999-06-17,1.595433,+,0.006339
1999-06-18,1.596680,+,0.001247
1999-06-21,1.589148,-,0.007532
1999-06-22,1.587104,-,0.002045
1999-06-23,1.578867,-,0.008237
1999-06-24,1.579826,+,0.000959
1999-06-25,1.587565,+,0.007739
1999-06-28,1.582572,-,0.004993
1999-06-29,1.583741,+,0.001169
1999-06-30,1.573671,-,0.010070
1999-07-01,1.578591,+,0.004921
1999-07-02,1.576023,-,0.002568
1999-07-05,1.576336,+,0.000313
1999-07-06,1.569082,-,0.007254
1999-07-07,1.557519,-,0.011563
1999-07-08,1.555929,-,0.001590
1999-07-09,1.551467,-,0.004462
1999-07-12,1.551095,-,0.000372
1999-07-13,1.557510,+,0.006414
1999-07-14,1.558792,+,0.001282
1999-07-15,1.566252,+,0.007460
1999-07-16,1.567368,+,0.001116
1999-07-19,1.558286,-,0.009082
1999-07-20,1.572983,+,0.014697
1999-07-21,1.572524,-,0.000459
1999-07-22,1.580699,+,0.008175
1999-07-23,1.582153,+,0.001454
1999-07-26,1.589363,+,0.007210
1999-07-27,1.590868,+,0.001506
1999-07-28,1.586563,-,0.004305
1999-07-29,1.602401,+,0.015838
1999-07-30,1.620794,+,0.018394
1999-08-02,1.618116,-,0.002679
1999-08-03,1.615817,-,0.002299
1999-08-04,1.623812,+,0.007995
1999-08-05,1.617841,-,0.005971
1999-08-06,1.615038,-,0.002803
1999-08-09,1.606152,-,0.008886
1999-08-10,1.613373,+,0.007222
