Date,Price,Difference
1999-01-05,0.012311,0.000221
1999-01-06,0.012263,-0.000048
1999-01-07,0.012489,0.000226
1999-01-08,0.012405,-0.000084
1999-01-11,0.012748,0.000342
1999-01-12,0.012398,-0.000349
1999-01-13,0.012079,-0.000319
1999-01-14,0.012004,-0.000075
1999-01-15,0.012133,0.000129
1999-01-18,0.012042,-0.000091
1999-01-19,0.012109,0.000067
1999-01-20,0.012177,0.000068
1999-01-21,0.012299,0.000121
1999-01-22,0.012119,-0.000179
1999-01-25,0.012087,-0.000032
1999-01-26,0.012155,0.000068
1999-01-27,0.012192,0.000036
1999-01-28,0.012196,0.000004
1999-01-29,0.012205,0.000009
1999-02-01,0.012293,0.000088
1999-02-02,0.012531,0.000238
1999-02-03,0.012593,0.000062
1999-02-04,0.012548,-0.000045
1999-02-05,0.012514,-0.000033
1999-02-08,0.012532,0.000017
1999-02-09,0.012315,-0.000216
1999-02-10,0.012211,-0.000105
1999-02-11,0.012343,0.000133
1999-02-12,0.012405,0.000061
1999-02-15,0.012335,-0.000070
1999-02-16,0.012119,-0.000216
1999-02-17,0.011967,-0.000152
1999-02-18,0.011891,-0.000075
1999-02-19,0.011930,0.000038
1999-02-22,0.011965,0.000035
1999-02-23,0.011983,0.000018
1999-02-24,0.011908,-0.000075
1999-02-25,0.011970,0.000062
1999-02-26,0.012099,0.000129
1999-03-01,0.012148,0.000049
1999-03-02,0.012112,-0.000036
1999-03-03,0.012049,-0.000064
1999-03-04,0.011860,-0.000189
1999-03-05,0.011947,0.000087
1999-03-08,0.012000,0.000054
1999-03-09,0.012028,0.000027
1999-03-10,0.012156,0.000128
1999-03-11,0.012192,0.000037
1999-03-12,0.012213,0.000021
1999-03-15,0.012425,0.000212
1999-03-16,0.012433,0.000008
1999-03-17,0.012281,-0.000152
1999-03-18,0.012309,0.000029
1999-03-19,0.012490,0.000181
1999-03-22,0.012473,-0.000017
1999-03-23,0.012366,-0.000107
1999-03-24,0.012370,0.000004
1999-03-25,0.012393,0.000023
1999-03-26,0.012383,-0.000011
1999-03-29,0.012380,-0.000003
1999-03-30,0.012382,0.000002
1999-03-31,0.012504,0.000121
1999-04-01,0.012397,-0.000107
1999-04-02,0.012301,-0.000096
1999-04-05,0.012231,-0.000070
1999-04-06,0.012270,0.000039
1999-04-07,0.012152,-0.000118
1999-04-08,0.012233,0.000081
1999-04-09,0.012213,-0.000020
1999-04-12,0.012305,0.000093
1999-04-13,0.012365,0.000059
1999-04-14,0.012487,0.000122
1999-04-15,0.012526,0.000039
1999-04-16,0.012704,0.000177
1999-04-19,0.012744,0.000040
1999-04-20,0.012783,0.000039
1999-04-21,0.012672,-0.000111
1999-04-22,0.012611,-0.000061
1999-04-23,0.012592,-0.000020
1999-04-26,0.012698,0.000106
1999-04-27,0.012602,-0.000096
1999-04-28,0.012663,0.000061
1999-04-29,0.012739,0.000077
1999-04-30,0.012697,-0.000042
1999-05-03,0.012693,-0.000005
1999-05-04,0.012573,-0.000120
1999-05-05,0.012456,-0.000117
1999-05-06,0.012312,-0.000144
1999-05-07,0.012355,0.000043
1999-05-10,0.012383,0.000027
1999-05-11,0.012374,-0.000009
1999-05-12,0.012455,0.000081
1999-05-13,0.012394,-0.000061
1999-05-14,0.012250,-0.000144
1999-05-17,0.012188,-0.000062
1999-05-18,0.012174,-0.000014
1999-05-19,0.012097,-0.000076
1999-05-20,0.012122,0.000024
1999-05-21,0.012216,0.000095
1999-05-24,0.012244,0.000028
1999-05-25,0.012241,-0.000003
1999-05-26,0.012386,0.000144
1999-05-27,0.012447,0.000062
1999-05-28,0.012582,0.000134
1999-05-31,0.012536,-0.000046
1999-06-01,0.012606,0.000070
1999-06-02,0.012658,0.000051
1999-06-03,0.012661,0.000004
1999-06-04,0.012656,-0.000005
1999-06-07,0.012717,0.000061
1999-06-08,0.012627,-0.000090
1999-06-09,0.012784,0.000157
1999-06-10,0.012809,0.000024
1999-06-11,0.012870,0.000061
1999-06-14,0.012719,-0.000151
1999-06-15,0.012725,0.000006
1999-06-16,0.012817,0.000091
1999-06-17,0.012887,0.000070
1999-06-18,0.012824,-0.000063
1999-06-21,0.012642,-0.000182
1999-06-22,0.012701,0.000059
1999-06-23,0.012720,0.000019
1999-06-24,0.012675,-0.000045
1999-06-25,0.012614,-0.000061
1999-06-28,0.012698,0.000084
1999-06-29,0.012779,0.000080
1999-06-30,0.012846,0.000067
1999-07-01,0.012925,0.000080
1999-07-02,0.012959,0.000034
1999-07-05,0.012826,-0.000133
1999-07-06,0.012845,0.000020
1999-07-07,0.012851,0.000005
1999-07-08,0.012852,0.000001
1999-07-09,0.012887,0.000035
1999-07-12,0.012980,0.000093
1999-07-13,0.012946,-0.000034
1999-07-14,0.013046,0.000100
1999-07-15,0.013049,0.000002
1999-07-16,0.013040,-0.000008
1999-07-19,0.013213,0.000173
1999-07-20,0.013029,-0.000184
1999-07-21,0.012930,-0.000100
1999-07-22,0.012952,0.000022
1999-07-23,0.013163,0.000211
1999-07-26,0.012977,-0.000185
1999-07-27,0.012875,-0.000102
1999-07-28,0.012981,0.000106
1999-07-29,0.012972,-0.000009
1999-07-30,0.012969,-0.000003
