Date,Price,Difference
1999-01-05,0.007636,0.000158
1999-01-06,0.007609,-0.000027
1999-01-07,0.007726,0.000117
1999-01-08,0.007687,-0.000039
1999-01-11,0.007916,0.000229
1999-01-12,0.007714,-0.000202
1999-01-13,0.007582,-0.000132
1999-01-14,0.007534,-0.000049
1999-01-15,0.007591,0.000057
1999-01-18,0.007524,-0.000066
1999-01-19,0.007568,0.000043
1999-01-20,0.007599,0.000032
1999-01-21,0.007672,0.000073
1999-01-22,0.007583,-0.000090
1999-01-25,0.007571,-0.000012
1999-01-26,0.007587,0.000016
1999-01-27,0.007581,-0.000006
1999-01-28,0.007561,-0.000019
1999-01-29,0.007570,0.000009
1999-02-01,0.007641,0.000071
1999-02-02,0.007831,0.000190
1999-02-03,0.007883,0.000052
1999-02-04,0.007834,-0.000049
1999-02-05,0.007816,-0.000018
1999-02-08,0.007824,0.000008
1999-02-09,0.007698,-0.000126
1999-02-10,0.007649,-0.000048
1999-02-11,0.007731,0.000082
1999-02-12,0.007757,0.000026
1999-02-15,0.007733,-0.000023
1999-02-16,0.007586,-0.000147
1999-02-17,0.007492,-0.000094
1999-02-18,0.007440,-0.000051
1999-02-19,0.007464,0.000024
1999-02-22,0.007484,0.000020
1999-02-23,0.007511,0.000026
1999-02-24,0.007470,-0.000040
1999-02-25,0.007526,0.000056
1999-02-26,0.007614,0.000088
1999-03-01,0.007626,0.000012
1999-03-02,0.007612,-0.000014
1999-03-03,0.007565,-0.000047
1999-03-04,0.007467,-0.000098
1999-03-05,0.007508,0.000041
1999-03-08,0.007532,0.000024
1999-03-09,0.007550,0.000018
1999-03-10,0.007591,0.000041
1999-03-11,0.007634,0.000043
1999-03-12,0.007645,0.000012
1999-03-15,0.007761,0.000116
1999-03-16,0.007773,0.000012
1999-03-17,0.007682,-0.000091
1999-03-18,0.007705,0.000024
1999-03-19,0.007813,0.000108
1999-03-22,0.007812,-0.000001
1999-03-23,0.007756,-0.000057
1999-03-24,0.007776,0.000021
1999-03-25,0.007773,-0.000003
1999-03-26,0.007756,-0.000017
1999-03-29,0.007765,0.000009
1999-03-30,0.007760,-0.000005
1999-03-31,0.007824,0.000064
1999-04-01,0.007769,-0.000055
1999-04-02,0.007701,-0.000068
1999-04-05,0.007660,-0.000041
1999-04-06,0.007693,0.000033
1999-04-07,0.007618,-0.000075
1999-04-08,0.007666,0.000048
1999-04-09,0.007648,-0.000018
1999-04-12,0.007676,0.000028
1999-04-13,0.007712,0.000036
1999-04-14,0.007779,0.000067
1999-04-15,0.007812,0.000033
1999-04-16,0.007926,0.000115
1999-04-19,0.007957,0.000031
1999-04-20,0.007969,0.000012
1999-04-21,0.007920,-0.000049
1999-04-22,0.007877,-0.000043
1999-04-23,0.007859,-0.000019
1999-04-26,0.007923,0.000064
1999-04-27,0.007853,-0.000070
1999-04-28,0.007871,0.000018
1999-04-29,0.007926,0.000056
1999-04-30,0.007880,-0.000046
1999-05-03,0.007878,-0.000002
1999-05-04,0.007810,-0.000068
1999-05-05,0.007765,-0.000045
