Date,Price,Difference
1999-01-05,0.009003,0.000187
1999-01-06,0.008935,-0.000067
1999-01-07,0.008987,0.000052
1999-01-08,0.008962,-0.000025
1999-01-11,0.009158,0.000196
1999-01-12,0.008887,-0.000271
1999-01-13,0.008904,0.000018
1999-01-14,0.008779,-0.000126
1999-01-15,0.008825,0.000046
1999-01-18,0.008737,-0.000088
1999-01-19,0.008791,0.000053
1999-01-20,0.008796,0.000006
1999-01-21,0.008878,0.000082
1999-01-22,0.008771,-0.000107
1999-01-25,0.008770,-0.000001
1999-01-26,0.008787,0.000017
1999-01-27,0.008740,-0.000047
1999-01-28,0.008628,-0.000112
1999-01-29,0.008618,-0.000010
1999-02-01,0.008663,0.000045
1999-02-02,0.008878,0.000215
1999-02-03,0.008937,0.000059
1999-02-04,0.008823,-0.000113
1999-02-05,0.008825,0.000002
1999-02-08,0.008798,-0.000027
1999-02-09,0.008724,-0.000075
1999-02-10,0.008676,-0.000048
1999-02-11,0.008745,0.000069
1999-02-12,0.008722,-0.000024
1999-02-15,0.008691,-0.000031
1999-02-16,0.008478,-0.000213
1999-02-17,0.008430,-0.000048
1999-02-18,0.008357,-0.000073
1999-02-19,0.008332,-0.000025
1999-02-22,0.008227,-0.000106
1999-02-23,0.008239,0.000012
1999-02-24,0.008245,0.000006
1999-02-25,0.008302,0.000057
1999-02-26,0.008390,0.000087
1999-03-01,0.008378,-0.000012
1999-03-02,0.008287,-0.000091
1999-03-03,0.008246,-0.000042
1999-03-04,0.008114,-0.000132
1999-03-05,0.008134,0.000020
1999-03-08,0.008216,0.000081
1999-03-09,0.008202,-0.000014
1999-03-10,0.008314,0.000113
1999-03-11,0.008314,-0.000000
1999-03-12,0.008358,0.000044
1999-03-15,0.008497,0.000140
1999-03-16,0.008473,-0.000024
1999-03-17,0.008424,-0.000050
1999-03-18,0.008485,0.000061
1999-03-19,0.008528,0.000043
1999-03-22,0.008488,-0.000041
1999-03-23,0.008450,-0.000037
1999-03-24,0.008498,0.000047
1999-03-25,0.008471,-0.000027
1999-03-26,0.008388,-0.000083
1999-03-29,0.008303,-0.000086
1999-03-30,0.008312,0.000010
1999-03-31,0.008405,0.000093
1999-04-01,0.008369,-0.000036
1999-04-02,0.008296,-0.000073
1999-04-05,0.008236,-0.000060
