Date,Price,Sign,Difference
2005-04-04,0.019116,+,0.000103
2005-04-05,0.019114,-,0.000002
2005-04-06,0.019111,-,0.000003
2005-04-07,0.019114,+,0.000003
2005-04-08,0.019199,+,0.000085
2005-04-11,0.019051,-,0.000149
2005-04-12,0.019006,-,0.000045
2005-04-13,0.019027,+,0.000021
2005-04-14,0.019088,+,0.000061
2005-04-15,0.019016,-,0.000072
2005-04-18,0.018946,-,0.000070
2005-04-19,0.018856,-,0.000090
2005-04-20,0.018828,-,0.000028
2005-04-21,0.018919,+,0.000091
2005-04-22,0.018837,-,0.000082
2005-04-25,0.018849,+,0.000012
2005-04-26,0.018902,+,0.000054
2005-04-27,0.018917,+,0.000015
2005-04-28,0.018877,-,0.000040
2005-04-29,0.018825,-,0.000052
2005-05-02,0.018912,+,0.000087
2005-05-03,0.019001,+,0.000089
2005-05-04,0.018940,-,0.000061
2005-05-05,0.018914,-,0.000027
2005-05-06,0.018952,+,0.000039
2005-05-09,0.019119,+,0.000166
2005-05-10,0.019107,-,0.000011
2005-05-11,0.019092,-,0.000015
2005-05-12,0.019198,+,0.000106
2005-05-13,0.019273,+,0.000076
2005-05-16,0.019439,+,0.000165
2005-05-17,0.019430,-,0.000008
2005-05-18,0.019471,+,0.000040
2005-05-19,0.019445,-,0.000025
2005-05-20,0.019469,+,0.000023
2005-05-23,0.019489,+,0.000020
2005-05-24,0.019460,-,0.000029
2005-05-25,0.019525,+,0.000064
2005-05-26,0.019540,+,0.000015
2005-05-27,0.019500,-,0.000039
2005-05-30,0.019536,+,0.000035
2005-05-31,0.019436,-,0.000100
2005-06-01,0.019450,+,0.000013
2005-06-02,0.019422,-,0.000027
2005-06-03,0.019389,-,0.000033
2005-06-06,0.019345,-,0.000044
2005-06-07,0.019246,-,0.000099
2005-06-08,0.019197,-,0.000049
2005-06-09,0.019280,+,0.000082
2005-06-10,0.019262,-,0.000018
2005-06-13,0.019462,+,0.000200
2005-06-14,0.019353,-,0.000109
2005-06-15,0.019313,-,0.000040
2005-06-16,0.019198,-,0.000114
2005-06-17,0.019223,+,0.000024
2005-06-20,0.019215,-,0.000008
2005-06-21,0.019204,-,0.000012
2005-06-22,0.019192,-,0.000011
2005-06-23,0.019166,-,0.000026
2005-06-24,0.019163,-,0.000003
2005-06-27,0.019142,-,0.000021
2005-06-28,0.019198,+,0.000056
2005-06-29,0.019294,+,0.000095
2005-06-30,0.019465,+,0.000171
2005-07-01,0.019607,+,0.000143
2005-07-04,0.019734,+,0.000126
2005-07-05,0.019759,+,0.000025
2005-07-06,0.019752,-,0.000007
2005-07-07,0.019894,+,0.000142
2005-07-08,0.020000,+,0.000106
2005-07-11,0.019955,-,0.000045
2005-07-12,0.019783,-,0.000172
2005-07-13,0.019810,+,0.000028
2005-07-14,0.019834,+,0.000023
2005-07-15,0.019830,-,0.000004
2005-07-18,0.019954,+,0.000125
2005-07-19,0.019987,+,0.000033
2005-07-20,0.020067,+,0.000080
2005-07-21,0.019986,-,0.000081
2005-07-22,0.020009,+,0.000023
2005-07-25,0.020074,+,0.000065
2005-07-26,0.020020,-,0.000054
2005-07-27,0.020037,+,0.000017
2005-07-28,0.019915,-,0.000122
2005-07-29,0.019890,-,0.000025
2005-08-01,0.019788,-,0.000102
2005-08-02,0.019739,-,0.000049
2005-08-03,0.019703,-,0.000035
2005-08-04,0.019785,+,0.000082
2005-08-05,0.019777,-,0.000009
2005-08-08,0.019687,-,0.000090
2005-08-09,0.019723,+,0.000036
2005-08-10,0.019636,-,0.000088
2005-08-11,0.019558,-,0.000078
2005-08-12,0.019464,-,0.000094
2005-08-15,0.019456,-,0.000008
2005-08-16,0.019451,-,0.000006
2005-08-17,0.019409,-,0.000042
2005-08-18,0.019428,+,0.000019
2005-08-19,0.019491,+,0.000063
2005-08-22,0.019417,-,0.000074
2005-08-23,0.019482,+,0.000064
2005-08-24,0.019517,+,0.000035
2005-08-25,0.019502,-,0.000015
2005-08-26,0.019466,-,0.000036
2005-08-29,0.019475,+,0.000010
2005-08-30,0.019615,+,0.000139
2005-08-31,0.019597,-,0.000018
2005-09-01,0.019408,-,0.000188
2005-09-02,0.019234,-,0.000175
2005-09-05,0.019220,-,0.000014
2005-09-06,0.019211,-,0.000009
2005-09-07,0.019255,+,0.000045
2005-09-08,0.019264,+,0.000008
2005-09-09,0.019239,-,0.000025
2005-09-12,0.019305,+,0.000067
2005-09-13,0.019343,+,0.000038
2005-09-14,0.019332,-,0.000011
2005-09-15,0.019511,+,0.000179
2005-09-16,0.019497,-,0.000014
2005-09-19,0.019499,+,0.000002
2005-09-20,0.019497,-,0.000001
2005-09-21,0.019474,-,0.000023
2005-09-22,0.019584,+,0.000110
2005-09-23,0.019686,+,0.000102
2005-09-26,0.019769,+,0.000082
2005-09-27,0.019841,+,0.000073
2005-09-28,0.019832,-,0.000009
2005-09-29,0.019855,+,0.000022
2005-09-30,0.019862,+,0.000008
2005-10-03,0.019892,+,0.000030
2005-10-04,0.019859,-,0.000033
2005-10-05,0.019831,-,0.000027
2005-10-06,0.019801,-,0.000030
2005-10-07,0.019858,+,0.000057
2005-10-10,0.019990,+,0.000131
2005-10-11,0.019993,+,0.000003
2005-10-12,0.019994,+,0.000001
2005-10-13,0.019980,-,0.000014
2005-10-14,0.019960,-,0.000019
2005-10-17,0.019922,-,0.000038
2005-10-18,0.020001,+,0.000079
2005-10-19,0.019873,-,0.000129
2005-10-20,0.019759,-,0.000113
2005-10-21,0.019730,-,0.000029
2005-10-24,0.019774,+,0.000044
2005-10-25,0.019726,-,0.000048
2005-10-26,0.019765,+,0.000038
2005-10-27,0.019698,-,0.000066
2005-10-28,0.019723,+,0.000025
2005-10-31,0.019716,-,0.000007
2005-11-01,0.019780,+,0.000064
2005-11-02,0.019784,+,0.000004
2005-11-03,0.019726,-,0.000058
2005-11-04,0.019857,+,0.000131
2005-11-07,0.019894,+,0.000037
2005-11-08,0.019918,+,0.000024
2005-11-09,0.019942,+,0.000024
2005-11-10,0.019848,-,0.000094
2005-11-11,0.019927,+,0.000079
2005-11-14,0.019916,-,0.000010
2005-11-15,0.019973,+,0.000056
2005-11-16,0.020078,+,0.000106
2005-11-17,0.020140,+,0.000062
2005-11-18,0.020212,+,0.000071
2005-11-21,0.020231,+,0.000020
2005-11-22,0.020285,+,0.000054
2005-11-23,0.020202,-,0.000083
2005-11-24,0.020168,-,0.000035
2005-11-25,0.020182,+,0.000014
2005-11-28,0.020278,+,0.000096
2005-11-29,0.020185,-,0.000093
2005-11-30,0.020112,-,0.000074
2005-12-01,0.020086,-,0.000025
2005-12-02,0.019980,-,0.000107
2005-12-05,0.019885,-,0.000095
2005-12-06,0.019933,+,0.000048
2005-12-07,0.019945,+,0.000012
2005-12-08,0.019792,-,0.000154
2005-12-09,0.019763,-,0.000029
2005-12-12,0.019666,-,0.000096
2005-12-13,0.019660,-,0.000006
2005-12-14,0.019688,+,0.000027
2005-12-15,0.019672,-,0.000016
2005-12-16,0.019718,+,0.000046
2005-12-19,0.019787,+,0.000069
