Date,Price,Sign,Difference
2005-04-04,0.035848,-,0.000035
2005-04-05,0.035792,-,0.000056
2005-04-06,0.035877,+,0.000085
2005-04-07,0.035934,+,0.000057
2005-04-08,0.035882,-,0.000052
2005-04-11,0.036001,+,0.000118
2005-04-12,0.036006,+,0.000006
2005-04-13,0.035979,-,0.000027
2005-04-14,0.035915,-,0.000064
2005-04-15,0.035879,-,0.000036
2005-04-18,0.035960,+,0.000081
2005-04-19,0.036000,+,0.000040
2005-04-20,0.036061,+,0.000061
2005-04-21,0.036078,+,0.000017
2005-04-22,0.036074,-,0.000003
2005-04-25,0.036012,-,0.000063
2005-04-26,0.036023,+,0.000012
2005-04-27,0.035964,-,0.000059
2005-04-28,0.035967,+,0.000003
2005-04-29,0.036003,+,0.000036
2005-05-02,0.035972,-,0.000030
2005-05-03,0.035926,-,0.000047
2005-05-04,0.035986,+,0.000060
2005-05-05,0.035993,+,0.000008
2005-05-06,0.035976,-,0.000017
2005-05-09,0.035976,+,0.000000
2005-05-10,0.035970,-,0.000006
2005-05-11,0.035951,-,0.000019
2005-05-12,0.035881,-,0.000070
2005-05-13,0.035803,-,0.000077
2005-05-16,0.035702,-,0.000101
2005-05-17,0.035720,+,0.000018
2005-05-18,0.035700,-,0.000020
2005-05-19,0.035772,+,0.000073
2005-05-20,0.035719,-,0.000054
2005-05-23,0.035633,-,0.000086
2005-05-24,0.035706,+,0.000073
2005-05-25,0.035663,-,0.000043
2005-05-26,0.035597,-,0.000066
2005-05-27,0.035621,+,0.000024
2005-05-30,0.035572,-,0.000049
2005-05-31,0.035396,-,0.000176
2005-06-01,0.035211,-,0.000185
2005-06-02,0.035267,+,0.000056
2005-06-03,0.035263,-,0.000004
2005-06-06,0.035181,-,0.000081
2005-06-07,0.035208,+,0.000026
2005-06-08,0.035262,+,0.000054
2005-06-09,0.035150,-,0.000111
2005-06-10,0.035136,-,0.000015
2005-06-13,0.035126,-,0.000010
2005-06-14,0.035005,-,0.000121
2005-06-15,0.034961,-,0.000044
2005-06-16,0.034994,+,0.000033
2005-06-17,0.035052,+,0.000058
2005-06-20,0.035093,+,0.000041
2005-06-21,0.034945,-,0.000148
2005-06-22,0.034945,+,0.000000
2005-06-23,0.034912,-,0.000033
2005-06-24,0.034921,+,0.000009
2005-06-27,0.035009,+,0.000088
2005-06-28,0.034938,-,0.000071
2005-06-29,0.034872,-,0.000066
2005-06-30,0.034911,+,0.000038
2005-07-01,0.034903,-,0.000007
2005-07-04,0.034698,-,0.000206
2005-07-05,0.034664,-,0.000034
2005-07-06,0.034680,+,0.000017
2005-07-07,0.034720,+,0.000040
2005-07-08,0.034690,-,0.000030
2005-07-11,0.034822,+,0.000132
2005-07-12,0.034975,+,0.000153
2005-07-13,0.034986,+,0.000012
2005-07-14,0.034866,-,0.000121
2005-07-15,0.034888,+,0.000022
2005-07-18,0.034861,-,0.000027
2005-07-19,0.034767,-,0.000095
2005-07-20,0.034865,+,0.000098
2005-07-21,0.034995,+,0.000130
2005-07-22,0.034954,-,0.000041
2005-07-25,0.034878,-,0.000076
2005-07-26,0.034802,-,0.000076
2005-07-27,0.034803,+,0.000001
2005-07-28,0.034887,+,0.000084
2005-07-29,0.034894,+,0.000007
2005-08-01,0.034971,+,0.000077
2005-08-02,0.034985,+,0.000013
2005-08-03,0.035091,+,0.000106
2005-08-04,0.035128,+,0.000037
2005-08-05,0.035215,+,0.000087
2005-08-08,0.035212,-,0.000002
2005-08-09,0.035203,-,0.000010
2005-08-10,0.035204,+,0.000001
2005-08-11,0.035251,+,0.000048
2005-08-12,0.035306,+,0.000054
2005-08-15,0.035218,-,0.000088
2005-08-16,0.035145,-,0.000074
2005-08-17,0.035131,-,0.000013
2005-08-18,0.035019,-,0.000112
2005-08-19,0.035004,-,0.000016
2005-08-22,0.035021,+,0.000017
2005-08-23,0.035037,+,0.000016
2005-08-24,0.035029,-,0.000008
2005-08-25,0.035092,+,0.000063
2005-08-26,0.035135,+,0.000043
2005-08-29,0.035113,-,0.000021
2005-08-30,0.034995,-,0.000119
2005-08-31,0.035003,+,0.000009
2005-09-01,0.035184,+,0.000181
2005-09-02,0.035379,+,0.000194
2005-09-05,0.035514,+,0.000136
2005-09-06,0.035438,-,0.000076
2005-09-07,0.035408,-,0.000030
2005-09-08,0.035377,-,0.000031
2005-09-09,0.035366,-,0.000011
2005-09-12,0.035249,-,0.000117
2005-09-13,0.035226,-,0.000023
2005-09-14,0.035352,+,0.000125
2005-09-15,0.035252,-,0.000099
2005-09-16,0.035284,+,0.000032
2005-09-19,0.035180,-,0.000104
2005-09-20,0.035190,+,0.000010
2005-09-21,0.035267,+,0.000077
2005-09-22,0.035272,+,0.000005
2005-09-23,0.035159,-,0.000113
2005-09-26,0.035030,-,0.000129
2005-09-27,0.035015,-,0.000015
2005-09-28,0.035054,+,0.000039
2005-09-29,0.035087,+,0.000033
2005-09-30,0.035073,-,0.000014
2005-10-03,0.034907,-,0.000166
2005-10-04,0.034936,+,0.000029
2005-10-05,0.034950,+,0.000014
2005-10-06,0.035030,+,0.000080
2005-10-07,0.035103,+,0.000073
2005-10-10,0.035109,+,0.000006
2005-10-11,0.035012,-,0.000097
2005-10-12,0.034972,-,0.000040
2005-10-13,0.034947,-,0.000025
2005-10-14,0.034944,-,0.000004
2005-10-17,0.034984,+,0.000040
2005-10-18,0.034898,-,0.000086
2005-10-19,0.034921,+,0.000023
2005-10-20,0.034902,-,0.000019
2005-10-21,0.035002,+,0.000100
2005-10-24,0.034944,-,0.000058
2005-10-25,0.035033,+,0.000089
2005-10-26,0.035060,+,0.000027
2005-10-27,0.035170,+,0.000109
2005-10-28,0.035159,-,0.000010
2005-10-31,0.035032,-,0.000127
2005-11-01,0.034981,-,0.000051
2005-11-02,0.034944,-,0.000037
2005-11-03,0.035020,+,0.000076
2005-11-04,0.035032,+,0.000012
2005-11-07,0.034768,-,0.000264
2005-11-08,0.034589,-,0.000180
2005-11-09,0.034663,+,0.000075
2005-11-10,0.034693,+,0.000030
2005-11-11,0.034628,-,0.000065
2005-11-14,0.034670,+,0.000042
2005-11-15,0.034614,-,0.000056
2005-11-16,0.034636,+,0.000022
2005-11-17,0.034655,+,0.000019
2005-11-18,0.034637,-,0.000018
2005-11-21,0.034795,+,0.000157
2005-11-22,0.034669,-,0.000126
2005-11-23,0.034751,+,0.000082
2005-11-24,0.034770,+,0.000020
2005-11-25,0.034738,-,0.000032
2005-11-28,0.034687,-,0.000051
2005-11-29,0.034787,+,0.000099
2005-11-30,0.034698,-,0.000088
2005-12-01,0.034703,+,0.000005
2005-12-02,0.034497,-,0.000206
2005-12-05,0.034547,+,0.000050
2005-12-06,0.034588,+,0.000041
2005-12-07,0.034504,-,0.000084
2005-12-08,0.034495,-,0.000009
2005-12-09,0.034597,+,0.000101
2005-12-12,0.034780,+,0.000183
2005-12-13,0.034772,-,0.000008
2005-12-14,0.034888,+,0.000116
2005-12-15,0.034881,-,0.000007
2005-12-16,0.034878,-,0.000003
2005-12-19,0.034872,-,0.000006
2005-12-20,0.034843,-,0.000029
2005-12-21,0.034728,-,0.000115
2005-12-22,0.034674,-,0.000055
2005-12-23,0.034736,+,0.000063
2005-12-27,0.034706,-,0.000031
2005-12-28,0.034791,+,0.000086
2005-12-29,0.034722,-,0.000069
2005-12-30,0.034779,+,0.000057
2006-01-02,0.034777,-,0.000002
2006-01-03,0.034783,+,0.000006
