Date,Price,Sign,Difference
1999-01-05,1.367515,-,0.003933
1999-01-06,1.372392,+,0.004877
1999-01-07,1.389701,+,0.017309
1999-01-08,1.384167,-,0.005534
1999-01-11,1.391996,+,0.007829
1999-01-12,1.395139,+,0.003143
1999-01-13,1.356522,-,0.038616
1999-01-14,1.367373,+,0.010851
1999-01-15,1.374849,+,0.007476
1999-01-18,1.378229,+,0.003380
1999-01-19,1.377497,-,0.000733
1999-01-20,1.384363,+,0.006866
1999-01-21,1.385240,+,0.000877
1999-01-22,1.381776,-,0.003464
1999-01-25,1.378280,-,0.003495
1999-01-26,1.383353,+,0.005073
1999-01-27,1.394917,+,0.011564
1999-01-28,1.413585,+,0.018667
1999-01-29,1.416286,+,0.002701
1999-02-01,1.419033,+,0.002747
1999-02-02,1.411485,-,0.007549
1999-02-03,1.409103,-,0.002382
1999-02-04,1.422090,+,0.012987
1999-02-05,1.417995,-,0.004095
1999-02-08,1.424329,+,0.006334
1999-02-09,1.411718,-,0.012611
1999-02-10,1.407424,-,0.004294
1999-02-11,1.411421,+,0.003998
1999-02-12,1.422270,+,0.010848
1999-02-15,1.419292,-,0.002978
1999-02-16,1.429402,+,0.010111
1999-02-17,1.419444,-,0.009959
1999-02-18,1.422899,+,0.003455
1999-02-19,1.431694,+,0.008795
1999-02-22,1.454330,+,0.022636
1999-02-23,1.454463,+,0.000132
1999-02-24,1.444233,-,0.010230
1999-02-25,1.441846,-,0.002387
1999-02-26,1.442186,+,0.000340
1999-03-01,1.450027,+,0.007842
1999-03-02,1.461560,+,0.011532
1999-03-03,1.461235,-,0.000325
1999-03-04,1.461715,+,0.000480
1999-03-05,1.468710,+,0.006994
1999-03-08,1.460671,-,0.008039
1999-03-09,1.466538,+,0.005867
1999-03-10,1.462065,-,0.004473
1999-03-11,1.466532,+,0.004467
1999-03-12,1.461306,-,0.005226
1999-03-15,1.462234,+,0.000928
1999-03-16,1.467297,+,0.005063
1999-03-17,1.457870,-,0.009427
1999-03-18,1.450690,-,0.007180
1999-03-19,1.464590,+,0.013900
1999-03-22,1.469624,+,0.005034
1999-03-23,1.463381,-,0.006243
1999-03-24,1.455710,-,0.007671
1999-03-25,1.463021,+,0.007311
1999-03-26,1.476190,+,0.013170
1999-03-29,1.491115,+,0.014924
1999-03-30,1.489684,-,0.001431
1999-03-31,1.487712,-,0.001972
1999-04-01,1.481341,-,0.006371
1999-04-02,1.482826,+,0.001485
1999-04-05,1.485119,+,0.002293
1999-04-06,1.487041,+,0.001922
1999-04-07,1.475398,-,0.011643
1999-04-08,1.475134,-,0.000264
1999-04-09,1.481536,+,0.006402
1999-04-12,1.475108,-,0.006428
1999-04-13,1.489271,+,0.014163
1999-04-14,1.488088,-,0.001183
1999-04-15,1.486649,-,0.001438
1999-04-16,1.502343,+,0.015694
1999-04-19,1.505735,+,0.003392
1999-04-20,1.506669,+,0.000934
1999-04-21,1.511430,+,0.004761
1999-04-22,1.513090,+,0.001659
1999-04-23,1.506771,-,0.006319
1999-04-26,1.509987,+,0.003216
1999-04-27,1.509595,-,0.000391
1999-04-28,1.508344,-,0.001251
1999-04-29,1.515654,+,0.007310
1999-04-30,1.520525,+,0.004870
1999-05-03,1.521485,+,0.000960
1999-05-04,1.523855,+,0.002370
1999-05-05,1.503797,-,0.020058
1999-05-06,1.489027,-,0.014770
1999-05-07,1.490636,+,0.001609
1999-05-10,1.497438,+,0.006802
1999-05-11,1.498509,+,0.001071
1999-05-12,1.507938,+,0.009429
1999-05-13,1.507532,-,0.000406
1999-05-14,1.500562,-,0.006970
1999-05-17,1.499579,-,0.000983
1999-05-18,1.498877,-,0.000701
1999-05-19,1.506207,+,0.007329
1999-05-20,1.505781,-,0.000426
1999-05-21,1.516648,+,0.010867
1999-05-24,1.513746,-,0.002902
1999-05-25,1.502211,-,0.011535
1999-05-26,1.513906,+,0.011695
1999-05-27,1.521913,+,0.008007
1999-05-28,1.521233,-,0.000681
1999-05-31,1.524770,+,0.003538
1999-06-01,1.526548,+,0.001777
1999-06-02,1.532653,+,0.006105
1999-06-03,1.534194,+,0.001541
1999-06-04,1.539215,+,0.005021
1999-06-07,1.537224,-,0.001991
1999-06-08,1.531921,-,0.005303
1999-06-09,1.520543,-,0.011378
1999-06-10,1.522532,+,0.001989
1999-06-11,1.524728,+,0.002196
1999-06-14,1.528409,+,0.003681
1999-06-15,1.533968,+,0.005560
1999-06-16,1.541228,+,0.007259
1999-06-17,1.545068,+,0.003840
1999-06-18,1.537255,-,0.007813
1999-06-21,1.544347,+,0.007092
1999-06-22,1.546786,+,0.002439
1999-06-23,1.553502,+,0.006716
1999-06-24,1.548009,-,0.005493
1999-06-25,1.531648,-,0.016361
1999-06-28,1.539757,+,0.008109
1999-06-29,1.544963,+,0.005206
1999-06-30,1.552479,+,0.007515
1999-07-01,1.563036,+,0.010557
1999-07-02,1.568206,+,0.005170
1999-07-05,1.569097,+,0.000891
1999-07-06,1.569318,+,0.000221
1999-07-07,1.568578,-,0.000740
1999-07-08,1.574249,+,0.005671
1999-07-09,1.574383,+,0.000134
1999-07-12,1.587515,+,0.013132
1999-07-13,1.574290,-,0.013224
1999-07-14,1.577793,+,0.003503
1999-07-15,1.573865,-,0.003928
1999-07-16,1.574103,+,0.000238
1999-07-19,1.583580,+,0.009477
1999-07-20,1.540634,-,0.042946
1999-07-21,1.534984,-,0.005650
1999-07-22,1.530431,-,0.004552
1999-07-23,1.529440,-,0.000992
1999-07-26,1.501776,-,0.027664
1999-07-27,1.505599,+,0.003823
1999-07-28,1.507687,+,0.002088
1999-07-29,1.496161,-,0.011525
1999-07-30,1.493922,-,0.002239
1999-08-02,1.496765,+,0.002843
1999-08-03,1.502489,+,0.005724
1999-08-04,1.487037,-,0.015453
1999-08-05,1.481420,-,0.005617
1999-08-06,1.491527,+,0.010107
1999-08-09,1.493975,+,0.002448
1999-08-10,1.490454,-,0.003521
1999-08-11,1.501969,+,0.011515
1999-08-12,1.506204,+,0.004236
1999-08-13,1.501359,-,0.004845
1999-08-16,1.518052,+,0.016692
1999-08-17,1.521041,+,0.002989
1999-08-18,1.522868,+,0.001827
1999-08-19,1.521061,-,0.001807
1999-08-20,1.497609,-,0.023452
1999-08-23,1.506034,+,0.008425
1999-08-24,1.522926,+,0.016892
1999-08-25,1.534554,+,0.011628
1999-08-26,1.532721,-,0.001833
1999-08-27,1.532440,-,0.000281
1999-08-30,1.532332,-,0.000108
1999-08-31,1.513005,-,0.019327
1999-09-01,1.507962,-,0.005043
1999-09-02,1.499812,-,0.008150
1999-09-03,1.494945,-,0.004868
1999-09-06,1.508212,+,0.013267
1999-09-07,1.513393,+,0.005181
1999-09-08,1.506925,-,0.006468
1999-09-09,1.510763,+,0.003837
1999-09-10,1.523289,+,0.012526
1999-09-13,1.552504,+,0.029215
1999-09-14,1.548543,-,0.003962
1999-09-15,1.546147,-,0.002396
1999-09-16,1.545700,-,0.000447
1999-09-17,1.543426,-,0.002274
1999-09-20,1.542283,-,0.001143
1999-09-21,1.544859,+,0.002576
1999-09-22,1.524788,-,0.020071
1999-09-23,1.537776,+,0.012987
1999-09-24,1.527491,-,0.010284
1999-09-27,1.538218,+,0.010726
1999-09-28,1.528475,-,0.009743
1999-09-29,1.515005,-,0.013469
1999-09-30,1.497140,-,0.017865
1999-10-01,1.490026,-,0.007114
1999-10-04,1.484747,-,0.005279
1999-10-05,1.490923,+,0.006176
1999-10-06,1.481513,-,0.009410
1999-10-07,1.484202,+,0.002689
1999-10-08,1.497232,+,0.013030
1999-10-11,1.500235,+,0.003003
1999-10-12,1.494657,-,0.005578
1999-10-13,1.475877,-,0.018780
1999-10-14,1.478714,+,0.002837
1999-10-15,1.460300,-,0.018414
