Date,Price,Sign,Difference
2005-04-04,0.776217,+,0.004552
2005-04-05,0.780640,+,0.004423
2005-04-06,0.777605,-,0.003035
2005-04-07,0.773814,-,0.003791
2005-04-08,0.780092,+,0.006278
2005-04-11,0.770951,-,0.009141
2005-04-12,0.770119,-,0.000831
2005-04-13,0.773874,+,0.003755
2005-04-14,0.780031,+,0.006157
2005-04-15,0.777122,-,0.002910
2005-04-18,0.771188,-,0.005933
2005-04-19,0.769468,-,0.001721
2005-04-20,0.766342,-,0.003125
2005-04-21,0.765814,-,0.000528
2005-04-22,0.764701,-,0.001113
2005-04-25,0.771248,+,0.006546
2005-04-26,0.770357,-,0.000891
2005-04-27,0.773994,+,0.003637
2005-04-28,0.774893,+,0.000900
2005-04-29,0.771784,-,0.003110
2005-05-02,0.777424,+,0.005640
2005-05-03,0.777847,+,0.000423
2005-05-04,0.772022,-,0.005825
2005-05-05,0.771962,-,0.000060
2005-05-06,0.772380,+,0.000417
2005-05-09,0.779788,+,0.007408
2005-05-10,0.777968,-,0.001820
2005-05-11,0.776277,-,0.001691
2005-05-12,0.783024,+,0.006747
2005-05-13,0.791452,+,0.008428
2005-05-16,0.792644,+,0.001192
2005-05-17,0.791390,-,0.001255
2005-05-18,0.792330,+,0.000941
2005-05-19,0.791014,-,0.001316
2005-05-20,0.793210,+,0.002196
2005-05-23,0.796940,+,0.003730
2005-05-24,0.792581,-,0.004358
2005-05-25,0.795925,+,0.003343
2005-05-26,0.798531,+,0.002606
2005-05-27,0.796749,-,0.001781
2005-05-30,0.801796,+,0.005047
2005-05-31,0.810964,+,0.009168
2005-06-01,0.817795,+,0.006831
2005-06-02,0.815461,-,0.002334
2005-06-03,0.813736,-,0.001725
2005-06-06,0.814863,+,0.001127
2005-06-07,0.814001,-,0.000862
2005-06-08,0.811425,-,0.002576
2005-06-09,0.817060,+,0.005635
2005-06-10,0.817728,+,0.000668
2005-06-13,0.829050,+,0.011322
2005-06-14,0.825764,-,0.003286
2005-06-15,0.828569,+,0.002805
2005-06-16,0.825423,-,0.003146
2005-06-17,0.821220,-,0.004203
2005-06-20,0.819001,-,0.002220
2005-06-21,0.826993,+,0.007992
2005-06-22,0.825696,-,0.001297
2005-06-23,0.828775,+,0.003079
2005-06-24,0.827678,-,0.001098
2005-06-27,0.822098,-,0.005580
2005-06-28,0.826788,+,0.004690
2005-06-29,0.829600,+,0.002812
2005-06-30,0.826993,-,0.002607
2005-07-01,0.827335,+,0.000342
2005-07-04,0.840760,+,0.013425
2005-07-05,0.841538,+,0.000778
2005-07-06,0.839419,-,0.002119
2005-07-07,0.836330,-,0.003089
2005-07-08,0.840054,+,0.003724
2005-07-11,0.832917,-,0.007137
2005-07-12,0.821963,-,0.010954
2005-07-13,0.820749,-,0.001214
2005-07-14,0.828706,+,0.007958
2005-07-15,0.828295,-,0.000412
2005-07-18,0.829600,+,0.001306
2005-07-19,0.835771,+,0.006171
2005-07-20,0.828981,-,0.006790
2005-07-21,0.820546,-,0.008435
2005-07-22,0.823520,+,0.002973
2005-07-25,0.828844,+,0.005324
2005-07-26,0.834237,+,0.005393
2005-07-27,0.834028,-,0.000209
