Date,Price,Difference
1999-01-05,0.604071,0.000882
1999-01-06,0.602572,-0.001500
1999-01-07,0.606817,0.004246
1999-01-08,0.608457,0.001640
1999-01-11,0.608869,0.000412
1999-01-12,0.613368,0.004500
1999-01-13,0.603202,-0.010166
1999-01-14,0.606024,0.002823
1999-01-15,0.605453,-0.000571
1999-01-18,0.603944,-0.001509
1999-01-19,0.602617,-0.001327
1999-01-20,0.605961,0.003344
1999-01-21,0.606896,0.000935
1999-01-22,0.605602,-0.001294
1999-01-25,0.603332,-0.002270
1999-01-26,0.602314,-0.001018
1999-01-27,0.604389,0.002075
1999-01-28,0.607187,0.002798
1999-01-29,0.606992,-0.000194
1999-02-01,0.608926,0.001933
1999-02-02,0.607568,-0.001358
1999-02-03,0.610832,0.003264
1999-02-04,0.612093,0.001261
1999-02-05,0.609724,-0.002369
1999-02-08,0.612484,0.002761
1999-02-09,0.609812,-0.002672
1999-02-10,0.613119,0.003307
1999-02-11,0.616602,0.003482
1999-02-12,0.615173,-0.001429
1999-02-15,0.613543,-0.001629
1999-02-16,0.613278,-0.000265
1999-02-17,0.610770,-0.002508
1999-02-18,0.611734,0.000964
1999-02-19,0.612559,0.000825
1999-02-22,0.617631,0.005072
1999-02-23,0.619564,0.001933
1999-02-24,0.623630,0.004065
1999-02-25,0.624422,0.000792
1999-02-26,0.623797,-0.000625
1999-03-01,0.621609,-0.002188
1999-03-02,0.621291,-0.000318
1999-03-03,0.616846,-0.004446
1999-03-04,0.622032,0.005186
1999-03-05,0.621839,-0.000193
1999-03-08,0.621195,-0.000643
1999-03-09,0.621744,0.000548
1999-03-10,0.615904,-0.005839
1999-03-11,0.614636,-0.001268
1999-03-12,0.611599,-0.003037
1999-03-15,0.615490,0.003891
1999-03-16,0.614898,-0.000592
1999-03-17,0.614992,0.000094
1999-03-18,0.613876,-0.001116
1999-03-19,0.614567,0.000691
1999-03-22,0.614599,0.000032
1999-03-23,0.615455,0.000857
1999-03-24,0.608803,-0.006652
1999-03-25,0.611855,0.003052
1999-03-26,0.614887,0.003031
1999-03-29,0.618687,0.003800
1999-03-30,0.619737,0.001050
1999-03-31,0.620276,0.000539
1999-04-01,0.621055,0.000779
1999-04-02,0.623840,0.002785
1999-04-05,0.623326,-0.000514
1999-04-06,0.630151,0.006825
1999-04-07,0.626341,-0.003810
1999-04-08,0.622204,-0.004137
1999-04-09,0.623863,0.001660
1999-04-12,0.618662,-0.005201
1999-04-13,0.619693,0.001031
1999-04-14,0.618059,-0.001635
1999-04-15,0.619507,0.001448
1999-04-16,0.621766,0.002259
1999-04-19,0.619218,-0.002548
1999-04-20,0.618918,-0.000300
1999-04-21,0.622804,0.003886
1999-04-22,0.622342,-0.000462
1999-04-23,0.619052,-0.003290
1999-04-26,0.618900,-0.000153
1999-04-27,0.619661,0.000762
1999-04-28,0.617195,-0.002467
1999-04-29,0.620898,0.003703
1999-04-30,0.620081,-0.000817
1999-05-03,0.620550,0.000468
1999-05-04,0.620314,-0.000235
1999-05-05,0.614231,-0.006083
1999-05-06,0.611260,-0.002971
1999-05-07,0.612831,0.001571
1999-05-10,0.615184,0.002353
1999-05-11,0.616754,0.001570
1999-05-12,0.617849,0.001095
1999-05-13,0.617586,-0.000263
1999-05-14,0.618303,0.000717
1999-05-17,0.617501,-0.000802
1999-05-18,0.616651,-0.000850
1999-05-19,0.617736,0.001084
1999-05-20,0.619513,0.001778
1999-05-21,0.622683,0.003169
1999-05-24,0.625130,0.002447
1999-05-25,0.624259,-0.000871
1999-05-26,0.624585,0.000326
1999-05-27,0.625513,0.000929
1999-05-28,0.624678,-0.000835
1999-05-31,0.623948,-0.000730
1999-06-01,0.623443,-0.000505
1999-06-02,0.620593,-0.002849
1999-06-03,0.622038,0.001445
1999-06-04,0.621619,-0.000419
1999-06-07,0.621753,0.000134
1999-06-08,0.624844,0.003091
1999-06-09,0.623256,-0.001587
1999-06-10,0.624212,0.000956
1999-06-11,0.621157,-0.003055
1999-06-14,0.620197,-0.000960
1999-06-15,0.625577,0.005380
1999-06-16,0.629290,0.003712
1999-06-17,0.626789,-0.002500
1999-06-18,0.626300,-0.000490
1999-06-21,0.629268,0.002968
1999-06-22,0.630079,0.000811
1999-06-23,0.633366,0.003287
1999-06-24,0.632981,-0.000384
1999-06-25,0.629896,-0.003086
1999-06-28,0.631883,0.001987
1999-06-29,0.631416,-0.000467
1999-06-30,0.635457,0.004041
1999-07-01,0.633476,-0.001981
1999-07-02,0.634508,0.001032
1999-07-05,0.634382,-0.000126
1999-07-06,0.637315,0.002933
1999-07-07,0.642047,0.004731
1999-07-08,0.642703,0.000656
1999-07-09,0.644551,0.001848
1999-07-12,0.644706,0.000154
