Date,Price,Difference
1999-01-05,111.077184,-2.359070
1999-01-06,111.913480,0.836296
1999-01-07,111.270633,-0.642848
1999-01-08,111.579038,0.308405
1999-01-11,109.196992,-2.382046
1999-01-12,112.526042,3.329050
1999-01-13,112.304155,-0.221886
1999-01-14,113.910581,1.606426
1999-01-15,113.314984,-0.595597
1999-01-18,114.450568,1.135585
1999-01-19,113.756887,-0.693681
1999-01-20,113.684665,-0.072222
1999-01-21,112.633944,-1.050721
1999-01-22,114.014005,1.380061
1999-01-25,114.027970,0.013964
1999-01-26,113.805906,-0.222064
1999-01-27,114.415821,0.609915
1999-01-28,115.907099,1.491278
1999-01-29,116.040056,0.132957
1999-02-01,115.434821,-0.605235
1999-02-02,112.640028,-2.794793
1999-02-03,111.899091,-0.740937
1999-02-04,113.335701,1.436609
1999-02-05,113.310308,-0.025393
1999-02-08,113.658190,0.347881
1999-02-09,114.629842,0.971652
1999-02-10,115.261859,0.632017
1999-02-11,114.347595,-0.914263
1999-02-12,114.656706,0.309110
1999-02-15,115.064958,0.408252
1999-02-16,117.949177,2.884219
1999-02-17,118.617258,0.668081
1999-02-18,119.658120,1.040862
1999-02-19,120.012541,0.354422
1999-02-22,121.552038,1.539496
1999-02-23,121.378430,-0.173608
1999-02-24,121.282957,-0.095473
1999-02-25,120.451455,-0.831502
1999-02-26,119.195861,-1.255594
1999-03-01,119.361005,0.165144
1999-03-02,120.666850,1.305845
1999-03-03,121.277181,0.610331
1999-03-04,123.246825,1.969644
1999-03-05,122.937050,-0.309775
1999-03-08,121.718005,-1.219045
1999-03-09,121.927644,0.209639
1999-03-10,120.277550,-1.650095
1999-03-11,120.282802,0.005253
1999-03-12,119.648738,-0.634065
1999-03-15,117.681980,-1.966758
1999-03-16,118.016696,0.334716
1999-03-17,118.712384,0.695688
1999-03-18,117.853251,-0.859133
1999-03-19,117.260650,-0.592601
1999-03-22,117.820324,0.559674
1999-03-23,118.337004,0.516680
1999-03-24,117.679356,-0.657649
1999-03-25,118.049183,0.369828
1999-03-26,119.214055,1.164871
1999-03-29,120.445193,1.231138
1999-03-30,120.306227,-0.138965
1999-03-31,118.981568,-1.324660
1999-04-01,119.494987,0.513419
1999-04-02,120.544003,1.049016
1999-04-05,121.419271,0.875268
1999-04-06,121.191497,-0.227774
1999-04-07,121.411395,0.219897
1999-04-08,120.586060,-0.825334
1999-04-09,121.311932,0.725871
1999-04-12,119.876691,-1.435241
1999-04-13,120.445889,0.569199
1999-04-14,119.171225,-1.274665
1999-04-15,118.681624,-0.489600
1999-04-16,118.260217,-0.421407
1999-04-19,118.155322,-0.104896
1999-04-20,117.865865,-0.289456
1999-04-21,119.270735,1.404870
1999-04-22,119.979208,0.708473
1999-04-23,119.663344,-0.315864
1999-04-26,118.918410,-0.744934
1999-04-27,119.793039,0.874629
1999-04-28,119.116820,-0.676219
1999-04-29,118.973972,-0.142848
1999-04-30,119.750873,0.776901
1999-05-03,119.869676,0.118803
1999-05-04,121.204089,1.334413
1999-05-05,120.727477,-0.476612
1999-05-06,120.937124,0.209647
1999-05-07,120.647135,-0.289989
1999-05-10,120.931532,0.284397
1999-05-11,121.105106,0.173574
1999-05-12,121.070925,-0.034181
1999-05-13,121.634344,0.563418
1999-05-14,122.499063,0.864720
1999-05-17,123.041647,0.542584
1999-05-18,123.124415,0.082768
1999-05-19,124.506301,1.381885
1999-05-20,124.222201,-0.284099
1999-05-21,124.148695,-0.073507
1999-05-24,123.627775,-0.520920
1999-05-25,122.715724,-0.912051
1999-05-26,122.230660,-0.485064
1999-05-27,122.266781,0.036122
1999-05-28,120.908484,-1.358298
1999-05-31,121.633512,0.725028
1999-06-01,121.094499,-0.539013
1999-06-02,121.084569,-0.009929
1999-06-03,121.171258,0.086688
1999-06-04,121.619001,0.447744
1999-06-07,120.880186,-0.738815
1999-06-08,121.319210,0.439024
1999-06-09,118.937512,-2.381698
1999-06-10,118.865763,-0.071749
1999-06-11,118.474317,-0.391445
1999-06-14,120.168631,1.694313
1999-06-15,120.544650,0.376019
1999-06-16,120.251329,-0.293321
1999-06-17,119.893617,-0.357712
1999-06-18,119.869080,-0.024537
1999-06-21,122.158816,2.289736
1999-06-22,121.788035,-0.370782
1999-06-23,122.130350,0.342316
1999-06-24,122.129639,-0.000712
1999-06-25,121.421048,-0.708591
1999-06-28,121.255295,-0.165753
1999-06-29,120.899267,-0.356028
1999-06-30,120.855926,-0.043341
1999-07-01,120.927514,0.071588
1999-07-02,121.013573,0.086059
1999-07-05,122.341673,1.328100
1999-07-06,122.170042,-0.171631
1999-07-07,122.060262,-0.109780
1999-07-08,122.490670,0.430408
1999-07-09,122.167777,-0.322892
1999-07-12,122.303437,0.135660
1999-07-13,121.604635,-0.698802
1999-07-14,120.938238,-0.666398
1999-07-15,120.615626,-0.322612
1999-07-16,120.711625,0.095999
1999-07-19,119.850187,-0.861438
1999-07-20,118.242075,-1.608112
1999-07-21,118.715351,0.473276
1999-07-22,118.163635,-0.551716
1999-07-23,116.196646,-1.966988
1999-07-26,115.722565,-0.474081
1999-07-27,116.937988,1.215423
1999-07-28,116.146374,-0.791614
1999-07-29,115.337079,-0.809295
1999-07-30,115.195437,-0.141642
