Date,Price,Sign,Difference
2005-04-04,27.895676,+,0.027014
2005-04-05,27.939110,+,0.043434
2005-04-06,27.873250,-,0.065860
2005-04-07,27.828678,-,0.044573
2005-04-08,27.868789,+,0.040111
2005-04-11,27.777349,-,0.091439
2005-04-12,27.772815,-,0.004535
2005-04-13,27.793685,+,0.020870
2005-04-14,27.843214,+,0.049529
2005-04-15,27.871464,+,0.028250
2005-04-18,27.809054,-,0.062410
2005-04-19,27.777778,-,0.031276
2005-04-20,27.730861,-,0.046917
2005-04-21,27.717874,-,0.012987
2005-04-22,27.720425,+,0.002551
2005-04-25,27.768780,+,0.048355
2005-04-26,27.759803,-,0.008977
2005-04-27,27.805728,+,0.045925
2005-04-28,27.803177,-,0.002550
2005-04-29,27.775720,-,0.027457
2005-05-02,27.799114,+,0.023394
2005-05-03,27.835252,+,0.036138
2005-05-04,27.788929,-,0.046323
2005-05-05,27.782924,-,0.006005
2005-05-06,27.796401,+,0.013477
2005-05-09,27.796319,-,0.000081
2005-05-10,27.800685,+,0.004365
2005-05-11,27.815557,+,0.014872
2005-05-12,27.870175,+,0.054618
2005-05-13,27.930352,+,0.060178
2005-05-16,28.009670,+,0.079318
2005-05-17,27.995410,-,0.014260
2005-05-18,28.011251,+,0.015841
2005-05-19,27.954438,-,0.056814
2005-05-20,27.996351,+,0.041914
2005-05-23,28.064233,+,0.067882
2005-05-24,28.006658,-,0.057576
2005-05-25,28.040433,+,0.033775
2005-05-26,28.092310,+,0.051877
2005-05-27,28.073460,-,0.018850
2005-05-30,28.111770,+,0.038310
2005-05-31,28.251561,+,0.139791
2005-06-01,28.400393,+,0.148831
2005-06-02,28.355215,-,0.045178
2005-06-03,28.358695,+,0.003480
2005-06-06,28.424055,+,0.065360
2005-06-07,28.402930,-,0.021124
2005-06-08,28.359299,-,0.043631
2005-06-09,28.449220,+,0.089921
2005-06-10,28.461035,+,0.011816
2005-06-13,28.468745,+,0.007710
2005-06-14,28.567300,+,0.098555
2005-06-15,28.603033,+,0.035733
2005-06-16,28.576145,-,0.026887
2005-06-17,28.529194,-,0.046951
2005-06-20,28.495495,-,0.033699
2005-06-21,28.616441,+,0.120945
2005-06-22,28.616134,-,0.000307
2005-06-23,28.643295,+,0.027161
2005-06-24,28.635987,-,0.007308
2005-06-27,28.563795,-,0.072193
2005-06-28,28.621745,+,0.057950
2005-06-29,28.675958,+,0.054214
2005-06-30,28.644558,-,0.031400
2005-07-01,28.650616,+,0.006058
2005-07-04,28.820414,+,0.169797
2005-07-05,28.848776,+,0.028362
2005-07-06,28.834886,-,0.013889
2005-07-07,28.801539,-,0.033347
2005-07-08,28.826445,+,0.024906
2005-07-11,28.717308,-,0.109137
2005-07-12,28.591978,-,0.125330
2005-07-13,28.582567,-,0.009410
2005-07-14,28.681528,+,0.098961
2005-07-15,28.663133,-,0.018396
2005-07-18,28.685084,+,0.021951
2005-07-19,28.763059,+,0.077975
2005-07-20,28.681920,-,0.081139
2005-07-21,28.575531,-,0.106389
2005-07-22,28.609075,+,0.033544
